pH,EC,DO,F,Cl,NO3,SO4,PO4,U,CaH,MgH,HCO3
6.76,170.3,6.08,0.67,9.8,21.375,8.0,2.43,0.0,40.0,20.0,60.0
6.69,202.1,7.63,0.27,20.0,6.45,7.87,0.53,3.2,40.0,40.0,60.0
6.88,261.0,6.16,0.19,19.9,16.65,6.75,0.67,0.0,80.0,20.0,160.0
6.83,262.0,4.37,0.28,50.0,19.875,3.71,0.14,0.0,60.0,0.0,120.0
6.28,112.9,1.97,0.64,40.0,9.225,2.14,0.3,0.0,40.0,0.0,120.0
7.14,366.0,4.44,0.09,7.5,27.675,8.14,0.13,0.0,80.0,0.0,100.0
6.79,397.0,3.63,0.73,19.9,32.1,5.8,0.79,0.0,40.0,40.0,80.0
5.95,618.0,3.84,0.29,29.9,29.25,14.8,1.39,0.0,40.0,60.0,40.0
7.05,520.0,4.26,0.84,7.5,31.95,11.1,0.29,0.0,40.0,40.0,140.0
5.7,60.8,2.9,0.43,20.0,21.6,6.75,0.68,1.2,20.0,60.0,40.0
6.91,370.0,3.91,0.49,19.8,34.125,5.85,0.67,3.5,40.0,40.0,180.0
6.05,273.0,2.49,0.16,29.9,27.975,6.6,0.0,0.0,20.0,60.0,40.0
5.32,115.8,5.78,0.12,29.9,13.875,7.87,0.43,0.0,60.0,20.0,60.0
5.67,80.4,4.83,0.04,9.9,5.1,3.71,0.29,0.0,0.0,60.0,20.0
6.77,401.0,3.94,0.17,19.8,25.725,2.14,0.27,0.0,40.0,60.0,160.0
7.12,425.0,3.51,0.62,7.49,22.35,6.28,0.302,0.0,40.0,0.0,120.0
6.18,141.1,3.57,0.11,39.9,23.175,3.57,0.79,1.1,40.0,20.0,80.0
6.31,193.0,3.77,0.21,39.9,25.95,5.3,1.14,0.0,40.0,20.0,40.0
5.32,356.0,3.39,0.46,14.9,32.625,3.85,0.37,1.8,40.0,40.0,200.0
7.22,932.0,5.2,0.33,19.9,34.425,8.71,0.09,1.2,40.0,20.0,240.0
6.96,377.0,5.3,0.95,7.5,31.275,8.42,0.83,0.0,40.0,40.0,180.0
6.91,618.0,4.12,0.98,49.9,47.175,14.42,0.24,2.6,80.0,0.0,220.0
6.63,960.0,3.14,0.6,52.48,35.775,25.5,0.13,18.8,60.0,0.0,180.0
6.99,337.0,3.69,0.44,29.9,31.2,5.85,0.16,0.0,20.0,20.0,80.0
6.78,344.0,3.29,0.31,49.9,28.95,8.87,0.07,0.0,60.0,0.0,80.0
6.41,136.5,5.91,0.14,29.9,23.55,3.85,2.51,0.5,40.0,0.0,80.0
6.39,53.4,3.47,0.11,0.0,7.65,2.85,0.3,0.0,20.0,20.0,60.0
5.76,58.4,3.9,0.1,12.5,4.8,7.0,0.9,0.0,60.0,0.0,100.0
6.84,383.0,3.84,0.38,49.9,31.95,12.75,0.22,0.0,60.0,20.0,80.0
6.42,442.0,4.58,0.23,14.9,19.725,26.85,0.46,0.3,60.0,20.0,180.0
6.42,641.0,3.23,0.35,89.9,23.175,6.71,0.76,0.0,40.0,40.0,280.0
6.04,198.1,5.02,0.17,19.9,18.825,8.5,0.0,0.0,40.0,40.0,60.0
