pH,EC,DO,F,Cl,NO3,SO4,PO4,U,CaH,MgH,HCO3,GWQI
6.760000,170.300000,6.080000,0.670000,9.800000,21.375000,8.000000,2.430000,0.000000,40.000000,20.000000,60.000000,32.824204
6.690000,202.100000,7.630000,0.270000,20.000000,6.450000,7.870000,0.530000,3.200000,40.000000,40.000000,60.000000,26.637177
6.880000,261.000000,6.160000,0.190000,19.900000,16.650000,6.750000,0.670000,0.000000,80.000000,20.000000,160.000000,30.964459
6.830000,262.000000,4.370000,0.280000,50.000000,19.875000,3.710000,0.140000,0.000000,60.000000,0.000000,120.000000,27.914444
6.280000,112.900000,1.970000,0.640000,40.000000,9.225000,2.140000,0.300000,0.000000,40.000000,0.000000,120.000000,32.610075
7.140000,366.000000,4.440000,0.090000,7.500000,27.675000,8.140000,0.130000,0.000000,80.000000,0.000000,100.000000,28.281351
6.790000,397.000000,3.630000,0.730000,19.900000,32.100000,5.800000,0.790000,0.000000,40.000000,40.000000,80.000000,43.099444
5.950000,618.000000,3.840000,0.290000,29.900000,29.250000,14.800000,1.390000,0.000000,40.000000,60.000000,40.000000,45.912432
7.050000,520.000000,4.260000,0.840000,7.500000,31.950000,11.100000,0.290000,0.000000,40.000000,40.000000,140.000000,46.002102
5.700000,60.800000,2.900000,0.430000,20.000000,21.600000,6.750000,0.680000,1.200000,20.000000,60.000000,40.000000,43.364429
6.910000,370.000000,3.910000,0.490000,19.800000,34.125000,5.850000,0.670000,3.500000,40.000000,40.000000,180.000000,44.122913
6.050000,273.000000,2.490000,0.160000,29.900000,27.975000,6.600000,0.000000,0.000000,20.000000,60.000000,40.000000,40.005000
5.320000,115.800000,5.780000,0.120000,29.900000,13.875000,7.870000,0.430000,0.000000,60.000000,20.000000,60.000000,34.537883
5.670000,80.400000,4.830000,0.040000,9.900000,5.100000,3.710000,0.290000,0.000000,0.000000,60.000000,20.000000,29.502523
6.770000,401.000000,3.940000,0.170000,19.800000,25.725000,2.140000,0.270000,0.000000,40.000000,60.000000,160.000000,40.163123
7.120000,425.000000,3.510000,0.620000,7.490000,22.350000,6.280000,0.302000,0.000000,40.000000,0.000000,120.000000,32.406303
6.180000,141.100000,3.570000,0.110000,39.900000,23.175000,3.570000,0.790000,1.100000,40.000000,20.000000,80.000000,32.011471
6.310000,193.000000,3.770000,0.210000,39.900000,25.950000,5.300000,1.140000,0.000000,40.000000,20.000000,40.000000,31.691336
5.320000,356.000000,3.390000,0.460000,14.900000,32.625000,3.850000,0.370000,1.800000,40.000000,40.000000,200.000000,55.164835
7.220000,932.000000,5.200000,0.330000,19.900000,34.425000,8.710000,0.090000,1.200000,40.000000,20.000000,240.000000,43.232808
6.960000,377.000000,5.300000,0.950000,7.500000,31.275000,8.420000,0.830000,0.000000,40.000000,40.000000,180.000000,47.600060
6.910000,618.000000,4.120000,0.980000,49.900000,47.175000,14.420000,0.240000,2.600000,80.000000,0.000000,220.000000,53.388018
6.630000,960.000000,3.140000,0.600000,52.480000,35.775000,25.500000,0.130000,18.800000,60.000000,0.000000,180.000000,50.075459
6.990000,337.000000,3.690000,0.440000,29.900000,31.200000,5.850000,0.160000,0.000000,20.000000,20.000000,80.000000,32.041562
6.780000,344.000000,3.290000,0.310000,49.900000,28.950000,8.870000,0.070000,0.000000,60.000000,0.000000,80.000000,30.975105
6.410000,136.500000,5.910000,0.140000,29.900000,23.550000,3.850000,2.510000,0.500000,40.000000,0.000000,80.000000,26.161532
6.390000,53.400000,3.470000,0.110000,0.000000,7.650000,2.850000,0.300000,0.000000,20.000000,20.000000,60.000000,22.377748
5.760000,58.400000,3.900000,0.100000,12.500000,4.800000,7.000000,0.900000,0.000000,60.000000,0.000000,100.000000,27.075646
6.840000,383.000000,3.840000,0.380000,49.900000,31.950000,12.750000,0.220000,0.000000,60.000000,20.000000,80.000000,36.068664
6.420000,442.000000,4.580000,0.230000,14.900000,19.725000,26.850000,0.460000,0.300000,60.000000,20.000000,180.000000,37.644039
6.420000,641.000000,3.230000,0.350000,89.900000,23.175000,6.710000,0.760000,0.000000,40.000000,40.000000,280.000000,48.242042
6.040000,198.100000,5.020000,0.170000,19.900000,18.825000,8.500000,0.000000,0.000000,40.000000,40.000000,60.000000,34.297598
5.860000,132.700000,4.230000,0.230000,7.490000,15.600000,2.850000,0.340000,0.000000,40.000000,20.000000,60.000000,31.692895
6.800000,573.000000,1.900000,0.970000,59.900000,28.125000,32.000000,0.740000,1.600000,40.000000,20.000000,100.000000,45.945315
7.000000,552.000000,4.920000,0.510000,39.900000,29.400000,5.850000,0.680000,1.700000,40.000000,60.000000,360.000000,53.346892
6.620000,274.000000,3.940000,0.440000,39.900000,26.100000,8.120000,0.190000,0.000000,40.000000,20.000000,40.000000,32.761291
6.890000,382.000000,5.780000,0.500000,29.900000,30.975000,5.140000,0.320000,0.000000,60.000000,0.000000,160.000000,35.081922
6.620000,330.000000,4.200000,0.390000,9.900000,28.425000,7.000000,0.320000,0.000000,40.000000,40.000000,80.000000,37.797117
6.600000,564.000000,3.630000,0.610000,39.900000,31.200000,23.600000,0.310000,0.000000,20.000000,20.000000,40.000000,37.520766
6.320000,292.000000,5.650000,0.400000,0.000000,26.775000,6.000000,0.550000,1.440000,40.000000,20.000000,60.000000,34.424399
5.930000,372.000000,4.920000,0.540000,7.500000,34.125000,4.000000,0.360000,0.000000,80.000000,0.000000,140.000000,44.276577
6.980000,281.000000,5.860000,0.650000,7.500000,31.125000,6.570000,0.400000,1.900000,80.000000,0.000000,140.000000,36.871006
6.700000,343.000000,2.350000,0.560000,39.900000,36.975000,4.570000,0.420000,0.000000,40.000000,40.000000,120.000000,45.063994
6.580000,1251.000000,2.020000,0.530000,259.900000,35.625000,45.370000,0.950000,1.800000,140.000000,40.000000,260.000000,67.130586
6.890000,992.000000,3.620000,1.260000,149.900000,46.125000,33.000000,0.870000,0.000000,120.000000,40.000000,80.000000,64.912583
6.820000,225.000000,6.160000,0.410000,29.900000,25.575000,4.420000,0.250000,1.500000,60.000000,40.000000,100.000000,36.844775
7.000000,322.000000,5.890000,1.020000,69.900000,31.425000,6.500000,0.250000,1.100000,20.000000,80.000000,60.000000,49.294940
5.920000,158.700000,3.390000,1.160000,49.900000,18.375000,7.370000,1.270000,0.000000,40.000000,80.000000,20.000000,55.341532
6.080000,135.700000,4.190000,0.250000,29.900000,13.275000,4.580000,0.790000,0.000000,40.000000,40.000000,40.000000,32.943138
6.590000,315.000000,2.530000,0.210000,9.900000,21.900000,11.140000,0.680000,0.000000,80.000000,20.000000,140.000000,36.466532
6.760000,319.000000,1.920000,0.610000,39.900000,16.500000,10.000000,0.590000,1.500000,20.000000,40.000000,60.000000,36.015435
6.920000,427.000000,4.270000,0.620000,9.900000,31.425000,12.140000,0.140000,16.500000,60.000000,40.000000,160.000000,48.631246
6.890000,967.000000,3.560000,0.650000,159.900000,28.350000,52.850000,0.840000,0.000000,40.000000,40.000000,60.000000,45.573318
6.510000,1878.000000,4.810000,0.260000,299.900000,52.500000,101.600000,2.150000,0.000000,60.000000,100.000000,280.000000,78.982477
6.620000,325.000000,1.240000,0.270000,49.980000,29.250000,8.500000,1.220000,0.000000,40.000000,0.000000,60.000000,30.785219
7.170000,215.000000,4.770000,0.960000,4.900000,21.300000,5.850000,0.190000,0.000000,40.000000,20.000000,60.000000,36.422943
6.700000,951.000000,2.150000,0.400000,209.900000,26.025000,12.850000,0.420000,0.000000,40.000000,60.000000,240.000000,53.289459
6.880000,1042.000000,3.080000,0.740000,120.000000,46.350000,80.700000,0.260000,1.600000,60.000000,40.000000,280.000000,64.159309
6.970000,1192.000000,1.170000,0.790000,269.900000,20.025000,32.600000,0.560000,0.000000,20.000000,80.000000,220.000000,59.360255
6.550000,1640.000000,3.510000,0.370000,219.900000,49.500000,104.850000,0.890000,2.700000,120.000000,60.000000,260.000000,74.708979
7.210000,401.000000,4.440000,0.900000,49.900000,39.225000,15.870000,0.240000,0.000000,60.000000,60.000000,100.000000,53.539294
7.160000,322.000000,4.110000,0.750000,7.490000,27.450000,2.850000,0.450000,0.000000,80.000000,0.000000,120.000000,37.933976
7.230000,515.000000,2.280000,0.730000,39.900000,30.525000,7.370000,1.360000,0.000000,40.000000,60.000000,80.000000,48.135240
7.570000,898.000000,4.220000,1.010000,129.900000,38.475000,8.570000,0.580000,2.100000,60.000000,0.000000,280.000000,57.527282
7.820000,1074.000000,3.700000,1.440000,37.480000,19.200000,9.000000,0.600000,0.000000,80.000000,40.000000,320.000000,69.311045
6.590000,862.000000,1.470000,0.240000,74.900000,31.425000,45.420000,0.960000,1.200000,60.000000,20.000000,220.000000,47.197553
6.520000,658.000000,2.320000,0.200000,49.900000,22.875000,18.800000,1.430000,0.000000,20.000000,80.000000,80.000000,43.894715
6.870000,672.000000,3.520000,0.810000,79.900000,33.975000,22.800000,0.310000,0.000000,40.000000,40.000000,80.000000,46.758378
7.450000,1088.000000,3.930000,1.680000,57.480000,32.400000,33.140000,0.951000,0.000000,20.000000,20.000000,200.000000,62.286285
6.810000,1283.000000,3.340000,0.520000,179.900000,28.125000,91.200000,3.270000,0.000000,100.000000,40.000000,240.000000,60.017087
6.920000,1136.000000,3.710000,1.100000,64.900000,31.050000,44.550000,0.450000,0.000000,60.000000,60.000000,320.000000,67.093213
