Alkalinity,Ammonia,BOD,Chloride,Conductivity,DO,Phosphate,pH,Temp,Hardness,Colour,CCME_Values
14.000000,0.033000,1.200000,10.000000,71.000000,61.850000,0.019000,7.420000,17.800000,13.400000,35.000000,76.753708
17.000000,0.033000,1.200000,11.500000,79.000000,61.800000,0.019000,7.670000,18.100000,15.800000,29.000000,77.222817
18.000000,0.033000,1.200000,11.300000,78.000000,62.400000,0.019000,7.630000,17.800000,15.900000,31.000000,76.953511
19.000000,0.033000,1.200000,10.500000,76.000000,66.050000,0.019000,7.330000,20.100000,15.400000,23.000000,76.867653
19.000000,0.066000,1.200000,11.400000,81.000000,65.950000,0.019000,7.390000,20.500000,17.100000,26.000000,76.659218
18.000000,0.033000,1.200000,11.600000,81.000000,63.150000,0.019000,8.100000,20.800000,16.800000,25.000000,77.271258
8.000000,0.069000,1.200000,13.200000,69.000000,54.100000,0.005000,6.890000,8.900000,10.800000,33.000000,78.435209
9.000000,0.068000,1.200000,14.800000,77.000000,54.000000,0.005000,6.890000,9.700000,11.700000,28.000000,78.867254
10.000000,0.067000,1.200000,15.000000,84.000000,54.600000,0.019000,7.060000,9.500000,11.000000,31.000000,78.496472
14.000000,0.133000,1.200000,16.100000,88.000000,53.750000,0.019000,6.830000,7.500000,16.100000,17.000000,82.268784
14.000000,0.111000,1.200000,15.200000,82.000000,54.150000,0.019000,6.830000,8.400000,14.700000,18.000000,82.170841
14.000000,0.113000,1.200000,15.800000,85.000000,53.700000,0.019000,6.820000,7.600000,15.700000,17.000000,82.281057
15.000000,0.033000,1.400000,16.000000,106.000000,53.900000,0.019000,7.180000,6.600000,17.000000,22.000000,79.391246
13.000000,0.040000,1.200000,15.700000,159.000000,53.350000,0.005000,6.880000,6.400000,15.000000,22.000000,79.507911
12.000000,0.039000,1.100000,16.000000,144.000000,53.400000,0.019000,7.230000,6.300000,16.300000,24.000000,79.327819
14.000000,0.080000,1.200000,19.500000,102.000000,59.800000,0.019000,6.980000,11.300000,20.100000,15.000000,80.832506
14.000000,0.099000,1.200000,19.500000,99.000000,62.500000,0.019000,6.990000,12.800000,18.900000,17.000000,80.221717
12.000000,0.129000,1.200000,19.600000,99.000000,61.000000,0.019000,6.950000,11.600000,19.100000,9.000000,80.558810
14.000000,0.052000,1.200000,19.100000,101.000000,58.550000,0.019000,7.240000,13.300000,152.000000,13.000000,81.121469
16.000000,0.058000,1.200000,18.300000,93.000000,58.500000,0.019000,7.100000,13.700000,19.100000,14.000000,81.133110
14.000000,0.051000,1.200000,18.700000,99.000000,58.000000,0.019000,7.150000,13.400000,21.100000,14.000000,81.249877
16.000000,0.025000,1.200000,16.100000,98.000000,55.900000,0.006000,7.230000,17.400000,21.300000,22.000000,78.971218
18.000000,0.041000,1.200000,14.900000,92.000000,52.700000,0.005000,7.080000,16.300000,19.500000,26.000000,79.306710
16.000000,0.033000,1.200000,15.800000,93.000000,55.050000,0.005000,7.230000,14.300000,20.000000,25.000000,78.898399
15.000000,0.033000,1.200000,11.900000,75.000000,62.600000,0.019000,7.140000,16.200000,16.400000,37.000000,76.462155
14.000000,0.033000,1.200000,11.600000,73.000000,57.700000,0.019000,7.020000,15.800000,15.500000,41.000000,77.087748
20.000000,0.023000,1.200000,11.800000,73.000000,60.400000,0.019000,7.040000,16.100000,15.400000,47.000000,76.128614
14.000000,0.033000,1.200000,11.200000,77.000000,58.500000,0.019000,7.240000,17.700000,16.900000,35.000000,77.397702
13.000000,0.033000,1.200000,9.720000,74.000000,61.700000,0.019000,6.990000,18.100000,15.600000,39.000000,76.480843
12.000000,0.033000,1.200000,10.700000,74.000000,56.900000,0.019000,7.120000,17.600000,16.100000,36.000000,77.633029
18.000000,0.048000,1.200000,9.990000,72.000000,48.350000,0.019000,7.020000,15.800000,17.300000,44.000000,78.712096
15.000000,0.033000,1.200000,9.890000,74.000000,53.400000,0.019000,6.930000,15.000000,17.700000,40.000000,78.010659
16.000000,0.094000,1.200000,9.580000,69.000000,50.050000,0.019000,6.860000,15.100000,16.100000,47.000000,78.121123
17.000000,0.055000,1.200000,9.880000,79.000000,50.750000,0.019000,7.030000,12.800000,18.200000,38.000000,78.712096
15.000000,0.046000,1.200000,9.820000,73.000000,54.900000,0.019000,6.860000,10.700000,17.200000,34.000000,78.191688
13.000000,0.065000,1.200000,9.230000,68.000000,53.050000,0.012000,7.080000,12.700000,15.800000,42.000000,77.920663
13.000000,0.068000,1.200000,8.990000,61.000000,46.400000,0.007000,6.710000,8.100000,12.400000,38.000000,79.625070
14.000000,0.075000,1.200000,9.230000,63.000000,46.900000,0.008000,6.690000,8.300000,13.300000,35.000000,79.774889
14.000000,0.068000,1.200000,8.120000,60.000000,44.700000,0.006000,6.790000,8.500000,11.400000,35.000000,80.250807
19.000000,0.062000,1.200000,10.400000,74.000000,52.850000,0.019000,6.940000,6.300000,15.200000,28.000000,79.106998
20.000000,0.063000,1.200000,10.700000,75.000000,53.450000,0.019000,6.900000,6.300000,15.300000,25.000000,79.232957
20.000000,0.023000,1.200000,10.100000,71.000000,52.800000,0.019000,6.950000,6.500000,14.300000,29.000000,79.033798
17.000000,0.022000,1.200000,9.980000,356.000000,57.400000,0.019000,6.700000,9.300000,152.000000,30.000000,78.010659
21.000000,0.018000,1.200000,10.370000,356.000000,59.000000,0.019000,6.900000,9.400000,152.000000,22.000000,78.333444
16.000000,0.044000,2.300000,8.810000,69.000000,55.550000,0.019000,7.510000,15.200000,17.600000,31.000000,78.302997
15.000000,0.046000,2.400000,7.340000,57.000000,50.100000,0.019000,7.050000,14.500000,14.200000,42.000000,78.516927
17.000000,0.030000,1.700000,8.560000,68.000000,53.400000,0.019000,7.190000,14.900000,17.300000,31.000000,78.743052
14.000000,0.035000,2.700000,7.380000,62.000000,58.300000,0.019000,7.000000,16.200000,16.500000,42.000000,76.896234
11.000000,0.025000,1.600000,6.160000,52.000000,59.300000,0.019000,6.750000,15.800000,13.700000,48.000000,76.257684
12.000000,0.040000,1.600000,6.680000,56.000000,56.700000,0.019000,6.920000,15.900000,14.800000,44.000000,77.049310
