PH,Temp,Turbidity,TSS,BOD5,COD,DO,Amoni,Phosphat,Coliforms,WQI
7.200000,27.800000,60.000000,210.000000,3.200000,6.600000,7.200000,0.350000,0.840000,2600.000000,49.680000
7.100000,27.600000,65.000000,180.000000,3.150000,6.800000,7.700000,0.880000,0.950000,4700.000000,65.340000
7.300000,27.700000,65.000000,195.000000,3.680000,7.800000,7.000000,2.250000,1.360000,8500.000000,51.530000
7.100000,27.500000,70.000000,180.000000,3.500000,6.200000,6.700000,2.330000,1.410000,7500.000000,55.260000
6.900000,27.500000,80.000000,100.000000,3.840000,6.800000,6.400000,1.870000,2.740000,9500.000000,49.510000
6.500000,27.500000,90.000000,80.000000,5.680000,10.500000,4.900000,3.640000,3.170000,10800.000000,15.230000
7.200000,27.000000,95.000000,120.000000,3.620000,5.500000,6.800000,2.400000,1.060000,8300.000000,52.240000
7.000000,27.500000,120.000000,100.000000,4.180000,7.700000,5.800000,2.860000,1.650000,9800.000000,27.800000
6.400000,28.100000,190.000000,60.000000,8.450000,14.500000,2.200000,4.120000,4.120000,14000.000000,9.620000
7.400000,28.000000,70.000000,310.000000,2.850000,4.880000,7.100000,0.004000,0.240000,1500.000000,49.450000
7.300000,28.000000,70.000000,270.000000,3.150000,8.150000,7.800000,0.005000,0.460000,2700.000000,75.220000
7.300000,28.000000,80.000000,230.000000,3.350000,5.360000,6.870000,0.008000,0.580000,3300.000000,73.350000
7.400000,28.000000,80.000000,220.000000,3.250000,6.200000,6.850000,0.330000,0.630000,4200.000000,68.810000
7.000000,27.500000,85.000000,150.000000,3.660000,6.600000,6.200000,0.470000,0.670000,6800.000000,59.200000
6.700000,27.500000,90.000000,120.000000,4.340000,7.300000,4.700000,0.750000,1.880000,8800.000000,48.880000
7.200000,27.000000,100.000000,210.000000,3.450000,7.800000,6.900000,0.450000,0.860000,4700.000000,18.050000
7.100000,27.500000,115.000000,18.000000,4.050000,7.200000,6.100000,0.660000,0.950000,5600.000000,62.220000
6.500000,28.000000,200.000000,90.000000,6.870000,10.600000,3.400000,1.740000,2.680000,12000.000000,9.190000
7.300000,27.500000,75.000000,120.000000,2.850000,5.200000,7.700000,0.004000,0.011000,350.000000,67.170000
7.200000,27.500000,70.000000,130.000000,3.050000,5.450000,7.850000,0.005000,0.025000,6500.000000,67.170000
7.200000,27.500000,90.000000,130.000000,3.200000,6.150000,7.420000,0.008000,0.025000,6500.000000,47.020000
7.200000,26.500000,90.000000,120.000000,3.650000,5.830000,6.860000,1.150000,1.170000,9500.000000,35.760000
6.700000,27.500000,100.000000,80.000000,4.150000,6.750000,6.310000,1.860000,1.360000,8600.000000,38.420000
6.600000,27.500000,130.000000,60.000000,5.380000,8.260000,4.150000,3.750000,2.140000,7800.000000,38.740000
7.100000,27.000000,130.000000,100.000000,3.880000,6.120000,6.480000,2.140000,1.280000,5700.000000,31.080000
7.100000,27.500000,190.000000,80.000000,4.300000,7.380000,5.210000,2.670000,1.680000,9700.000000,9.540000
6.500000,27.000000,230.000000,70.000000,7.670000,11.740000,2.240000,3.940000,3.850000,120000.000000,16.910000
7.300000,27.500000,80.000000,110.000000,3.050000,580.000000,7.210000,0.007000,0.032000,3800.000000,42.780000
7.300000,27.500000,80.000000,115.000000,3.400000,6.150000,7.150000,0.008000,0.033000,6700.000000,66.410000
7.200000,27.500000,85.000000,100.000000,3.650000,6.700000,6.650000,0.017000,0.033000,7400.000000,65.520000
7.300000,26.500000,75.000000,110.000000,3.550000,5.240000,6.500000,1.750000,1.870000,8600.000000,50.530000
6.900000,27.500000,120.000000,80.000000,4.320000,7.650000,6.280000,1.980000,2.340000,7200.000000,39.280000
6.700000,27.500000,110.000000,90.000000,5.850000,8.870000,5.210000,2.860000,2.760000,32000.000000,9.460000
7.200000,27.000000,150.000000,100.000000,4.050000,7.150000,6.350000,2.150000,2.170000,9600.000000,28.930000
7.200000,27.500000,230.000000,120.000000,4.470000,7.560000,5.630000,2.660000,2.450000,12500.000000,3.910000
6.600000,27.000000,380.000000,80.000000,6.240000,9.780000,1.850000,3.650000,3.470000,135000.000000,9.300000
7.100000,27.000000,65.000000,100.000000,5.100000,6.500000,7.300000,0.450000,1.000000,450.000000,58.800000
7.300000,27.000000,85.000000,145.000000,6.200000,8.100000,7.000000,0.710000,0.720000,4200.000000,65.680000
7.100000,26.500000,85.000000,140.000000,5.200000,7.100000,6.200000,0.870000,1.050000,7300.000000,50.910000
7.100000,27.000000,90.000000,130.000000,5.200000,7.100000,6.000000,1.260000,1.250000,7100.000000,55.150000
6.700000,26.500000,90.000000,110.000000,6.500000,8.100000,5.600000,0.210000,1.250000,9510.000000,46.830000
6.800000,26.500000,95.000000,100.000000,8.100000,11.100000,3.200000,0.230000,2.450000,10500.000000,15.440000
6.600000,26.500000,95.000000,110.000000,5.300000,6.500000,6.100000,2.850000,1.530000,7000.000000,54.820000
6.500000,26.500000,110.000000,110.000000,7.300000,10.300000,4.400000,3.500000,1.900000,10500.000000,3.700000
