Generation,Bayesian,DE,SHADE,CMA-ES,APSM-jSO,jSO,L-SHADE,JADE,SaDE,mLSHADE-RL
1,0.507605,0.506943,0.507271,0.506411,0.507597,0.507356,0.507230,0.506597,0.506940,0.506988
10,0.566690,0.560888,0.563768,0.556218,0.566620,0.564506,0.563404,0.557850,0.560861,0.561279
20,0.616095,0.605995,0.611008,0.597865,0.615973,0.612293,0.610374,0.600707,0.605947,0.606676
30,0.652695,0.639411,0.646005,0.628718,0.652535,0.647695,0.645171,0.632456,0.639348,0.640307
40,0.679809,0.664166,0.671931,0.651575,0.679621,0.673921,0.670949,0.655976,0.664093,0.665221
50,0.699895,0.682505,0.691137,0.668507,0.699686,0.693350,0.690045,0.673401,0.682423,0.683678
60,0.714776,0.696091,0.705366,0.681051,0.714551,0.707743,0.704193,0.686309,0.696003,0.697352
70,0.725800,0.706155,0.715906,0.690344,0.725563,0.718406,0.714673,0.695871,0.706063,0.707481
80,0.733966,0.713611,0.723715,0.697228,0.733721,0.726305,0.722437,0.702955,0.713516,0.714985
90,0.740016,0.719135,0.729500,0.702328,0.739765,0.732157,0.728189,0.708204,0.719037,0.720544
100,0.744498,0.723227,0.733786,0.706107,0.744242,0.736492,0.732450,0.712091,0.723128,0.724662
