Generation,Bayesian,DE,SHADE,CMA-ES,APSM-jSO,jSO,L-SHADE,JADE,SaDE,mLSHADE-RL
1,0.514689,0.514695,0.514741,0.514736,0.514439,0.514596,0.514708,0.514636,0.514310,0.514736
10,0.628813,0.628866,0.629271,0.629228,0.626625,0.628000,0.628980,0.628353,0.625494,0.629226
20,0.724240,0.724333,0.725037,0.724962,0.720430,0.722825,0.724532,0.723439,0.718461,0.724960
30,0.794934,0.795056,0.795983,0.795884,0.789924,0.793073,0.795318,0.793880,0.787334,0.795881
40,0.847306,0.847449,0.848541,0.848424,0.841405,0.845115,0.847757,0.846064,0.838356,0.848420
50,0.886103,0.886263,0.887476,0.887347,0.879544,0.883667,0.886605,0.884723,0.876154,0.887343
60,0.914845,0.915017,0.916320,0.916181,0.907798,0.912228,0.915385,0.913363,0.904155,0.916177
70,0.936138,0.936318,0.937689,0.937543,0.928729,0.933387,0.936705,0.934579,0.924899,0.937538
80,0.951912,0.952099,0.953519,0.953367,0.944235,0.949061,0.952500,0.950297,0.940266,0.953362
90,0.963598,0.963789,0.965246,0.965091,0.955722,0.960673,0.964200,0.961941,0.951651,0.965086
100,0.972255,0.972450,0.973934,0.973776,0.964232,0.969275,0.972869,0.970567,0.960085,0.973770
