Generation,Bayesian,DE,SHADE,CMA-ES,APSM-jSO,jSO,L-SHADE,JADE,SaDE,mLSHADE-RL
1,0.513425,0.513550,0.513340,0.512380,0.512138,0.510705,0.511783,0.512243,0.511913,0.509052
10,0.617728,0.618826,0.616985,0.608565,0.606449,0.593876,0.603334,0.607367,0.604474,0.579384
20,0.704943,0.706854,0.703650,0.688993,0.685309,0.663421,0.679886,0.686907,0.681871,0.638193
30,0.769554,0.772067,0.767853,0.748575,0.743729,0.714942,0.736597,0.745832,0.739207,0.681760
40,0.817418,0.820378,0.815416,0.792714,0.787008,0.753109,0.778609,0.789484,0.781683,0.714035
50,0.852877,0.856167,0.850652,0.825413,0.819070,0.781384,0.809733,0.821823,0.813151,0.737945
60,0.879146,0.882681,0.876754,0.849637,0.842822,0.802331,0.832789,0.845780,0.836462,0.755658
70,0.898606,0.902323,0.896092,0.867583,0.860418,0.817848,0.849870,0.863527,0.853731,0.768781
80,0.913023,0.916874,0.910418,0.880878,0.873453,0.829344,0.862524,0.876675,0.866525,0.778502
90,0.923703,0.927653,0.921030,0.890727,0.883110,0.837860,0.871899,0.886415,0.876003,0.785703
100,0.931615,0.935639,0.928892,0.898023,0.890264,0.844169,0.878843,0.893631,0.883024,0.791038
