Dataset,Algorithm,R2CV,Time(s)
Jajpur,Bayesian,0.996999,306.50
Jajpur,DE,0.997204,348.33
Jajpur,SHADE,0.998766,91.49
Jajpur,CMA-ES,0.998599,80.21
Jajpur,APSM-jSO,0.988555,80.89
Jajpur,jSO,0.993863,71.89
Jajpur,L-SHADE,0.997645,90.41
Jajpur,JADE,0.995222,83.41
Jajpur,SaDE,0.984191,91.06
Jajpur,mLSHADE-RL,0.998594,126.55
WQI,Bayesian,0.954229,596.82
WQI,DE,0.958465,514.49
WQI,SHADE,0.951365,101.87
WQI,CMA-ES,0.918877,94.62
WQI,APSM-jSO,0.910712,103.62
WQI,jSO,0.862202,114.47
WQI,L-SHADE,0.898693,104.17
WQI,JADE,0.914256,101.82
WQI,SaDE,0.903093,113.30
WQI,mLSHADE-RL,0.806287,209.30
Sample,Bayesian,0.962513,1108.76
Sample,DE,0.969265,447.31
Sample,SHADE,0.962444,84.35
Sample,CMA-ES,0.955724,78.86
Sample,APSM-jSO,0.945342,75.94
Sample,jSO,0.959484,74.87
Sample,L-SHADE,0.945335,82.71
Sample,JADE,0.946667,83.78
Sample,SaDE,0.956646,92.83
Sample,mLSHADE-RL,0.954258,155.35
AKH,Bayesian,0.757309,153.98
AKH,DE,0.734923,142.54
AKH,SHADE,0.746035,31.60
AKH,CMA-ES,0.716906,30.10
AKH,APSM-jSO,0.757040,23.05
AKH,jSO,0.748883,22.94
AKH,L-SHADE,0.744630,28.02
AKH,JADE,0.723204,20.91
AKH,SaDE,0.734818,26.62
AKH,mLSHADE-RL,0.736434,40.81
