Sample,DE_AE,SHADE_AE,CMA-ES_AE,NRBO_AE,BOA_AE,HHO-Lite_AE,Ensemble_AE
0,17.3173,2.0596,9.2671,17.4271,5.0683,9.0614,9.9940
1,4.7558,5.6674,6.5561,7.9156,5.6484,0.3033,5.1509
2,4.2783,2.6108,5.5881,0.1715,1.1521,5.8904,0.6207
3,5.3984,0.5954,1.8702,0.6698,0.3649,2.5051,0.3001
4,5.0488,6.1236,8.1515,0.4879,0.7341,1.3166,0.6548
5,13.3192,2.3011,13.0135,16.6477,3.7464,15.8208,10.7868
6,11.6541,3.3962,10.4452,12.6246,8.8763,6.8628,8.9630
7,0.7667,4.7054,4.2382,10.9369,2.8928,3.4517,0.8637
8,1.9392,4.9577,5.5574,3.8288,4.5735,4.6202,0.8467
9,12.0129,2.4282,9.5222,15.9489,5.3602,9.3054,9.0764
10,14.5434,23.4344,16.2630,11.3012,20.6575,16.4760,17.1302
11,15.6969,21.7150,14.4243,9.1280,19.1829,14.7245,15.8189
12,13.8727,17.1777,9.8920,9.3248,14.6205,10.3712,12.5414
13,10.6041,2.8330,2.1286,8.6553,4.4946,5.5628,5.6829
14,12.2568,2.7593,14.9494,7.9844,3.5857,13.7321,9.1989
15,29.6841,33.4781,25.2786,15.8621,26.5081,29.6500,26.7371
16,15.9482,0.9259,6.5740,10.3499,2.4699,7.5799,6.9528
17,0.2766,3.8594,6.0383,2.5678,2.4445,5.3046,1.6714
18,3.4641,6.7639,7.9379,7.5211,5.8232,1.8772,1.9427
19,11.8010,8.1529,8.7444,11.7427,8.8915,2.6404,8.6554
20,1.4949,11.6240,11.3774,4.6227,11.1583,3.6489,7.3610
21,4.0945,16.3892,5.3792,2.0671,6.4731,9.0237,7.2584
22,2.2704,12.5354,1.2707,5.9391,7.8602,6.3300,6.0477
23,5.8269,1.0259,5.3797,29.4287,1.4633,3.6760,7.4513
24,6.0202,16.4780,12.4448,14.6911,13.2757,12.8371,7.7516
25,14.6401,9.3244,19.9709,14.1450,14.3696,27.1743,16.5977
26,9.3929,12.4695,14.6311,9.8983,12.9157,13.4335,12.1382
27,2.1781,6.0904,6.1252,1.7711,5.1541,1.2352,0.0061
28,15.2325,2.8163,7.8241,12.5169,3.8526,9.5062,8.5893
29,17.5756,2.6053,6.5748,13.5855,3.4346,17.0735,10.0891
30,3.5002,8.3544,9.4778,8.1412,2.6489,8.6733,2.9600
31,1.5880,3.1050,13.5261,12.3991,1.4759,9.6891,2.3345
32,0.0957,3.4504,6.7358,5.9623,0.8751,0.5634,1.3284
33,8.4302,4.4390,11.3743,18.0391,9.5313,8.0911,1.2158
34,5.9929,4.4273,12.8977,8.4201,12.6554,6.6883,8.5270
35,0.4810,4.8618,7.0211,2.2883,6.6116,5.8235,4.5339
36,15.1949,1.6334,12.9765,17.5773,2.4476,7.0649,9.4599
37,11.1966,5.5853,6.7720,9.8301,5.2216,3.2325,6.9585
38,4.2893,6.9395,7.0188,7.7586,5.8115,5.8537,2.3005
39,9.6225,1.9883,5.5879,8.6783,6.2132,2.7024,5.1111
40,6.1516,10.8099,3.0356,7.1399,0.6337,13.1365,6.8137
41,10.3988,5.4948,7.1333,15.2988,6.6661,2.9481,7.9803
42,9.6544,6.0425,4.6753,5.5078,13.3834,8.5909,7.9577
43,15.6084,15.2860,7.4687,15.0947,19.0284,9.9373,13.7218
44,2.7244,2.7050,12.4712,1.3841,4.7249,4.3513,4.7481
45,14.0565,8.4512,14.1560,18.2188,9.4973,11.2635,12.6005
46,8.3374,6.6887,5.2577,7.0668,6.8196,0.6664,3.8032
47,3.1553,10.0991,9.9955,0.4053,0.8995,6.8913,4.2365
48,7.8597,2.7734,1.4368,5.7907,2.3326,2.2637,3.2370
49,24.3688,17.3888,17.0160,22.0237,15.4924,20.4594,19.4311
50,2.7657,0.4640,7.9307,6.3840,11.4358,4.0782,4.4589
51,7.6136,10.4014,18.7012,7.4487,14.3716,9.9090,11.4367
52,6.1243,2.4420,0.6849,4.0874,1.1030,0.8287,1.9302
53,4.1594,1.8804,0.2811,1.3969,1.1455,0.9165,1.5237
54,22.7615,15.6407,16.3981,23.4568,17.3465,21.2677,19.4524
55,4.4884,3.4063,3.3568,0.5218,4.1863,3.1810,1.9560
56,1.3495,4.6878,5.8428,3.7010,0.0157,2.7598,1.3946
57,9.0155,2.4118,2.0530,5.8139,1.1675,5.0561,3.8382
58,18.8607,21.8233,11.6792,8.6750,8.9287,13.0008,13.8187
59,5.6078,7.2494,2.6043,6.4214,6.6315,8.1390,6.1030
60,25.3460,13.5572,5.6521,14.2853,12.8876,11.2772,13.7758
61,2.5116,1.1890,5.9649,1.1744,0.8082,5.7783,2.9074
62,3.0023,1.5695,3.7311,4.9529,2.0153,2.5335,2.9674
63,18.8988,4.0815,11.1372,9.0827,7.1275,10.9171,10.1672
64,9.7013,10.4532,11.8230,13.4786,9.6579,6.6557,10.3043
65,9.7540,6.3860,7.6864,15.2320,5.7360,1.6618,7.7391
66,14.2576,16.3711,8.8007,7.9381,14.2372,9.2990,11.8107
67,14.3801,8.9216,4.9474,17.3238,6.0395,8.3888,9.9736
68,7.7103,0.7438,6.4135,3.6762,5.5994,2.4190,4.1643
69,29.1309,33.2606,29.4236,18.2748,34.0882,31.4349,29.2729
70,3.8768,0.3998,11.5579,2.8882,1.3042,6.7838,3.0793
71,4.7871,0.9908,1.2323,1.5527,0.8604,0.1123,1.1233
72,16.2574,8.8860,15.5128,18.8035,11.1417,9.7922,13.3896
73,9.7723,3.3514,0.5996,8.4744,6.4403,1.7375,5.0356
74,1.2482,4.4599,5.2456,3.4162,2.8011,11.5402,3.2456
75,2.6345,5.3268,0.1311,2.0561,3.7005,7.1627,2.5936
76,5.7996,8.8121,6.6567,4.9199,8.6500,6.5561,6.9057
77,5.8315,10.2263,5.4235,7.6674,14.0410,0.3719,7.2715
78,11.5592,16.3180,10.3020,3.7868,6.3715,9.5140,9.6473
79,9.4660,2.8314,0.5376,5.0703,4.4335,1.3259,3.7351
80,2.8441,1.9786,0.2851,0.2894,2.1519,0.9468,1.2164
81,14.1081,6.1599,3.3820,14.0910,7.1413,9.5185,9.0311
82,7.9174,2.5417,8.8614,5.1125,2.9187,3.8817,5.2008
