Sample,DE_AE,SHADE_AE,CMA-ES_AE,NRBO_AE,BOA_AE,HHO-Lite_AE,Ensemble_AE
0,0.0162,0.1578,0.1952,0.1578,0.0644,0.1578,0.0381
1,0.0193,0.0434,0.1652,0.0434,0.0406,0.0434,0.0095
2,0.0059,0.0517,0.1834,0.0517,0.0295,0.0517,0.0087
3,0.7019,0.1039,0.2832,0.1039,0.6189,0.1039,0.3196
4,0.7732,0.1363,0.3377,0.1363,0.6901,0.1363,0.2326
5,0.0697,0.2446,0.0958,0.2446,0.1713,0.2446,0.1783
6,0.1037,0.0821,0.4818,0.0821,0.2727,0.0821,0.1843
7,0.2653,0.4499,0.7195,0.4499,0.4489,0.4499,0.4640
8,0.2769,0.3589,0.3048,0.3589,0.2472,0.3589,0.3175
9,1.0773,0.3561,0.5804,0.3561,0.5472,0.3561,0.5457
10,1.2996,0.8358,0.9266,0.8358,0.8731,0.8358,0.9345
11,1.1888,0.6035,0.7413,0.6035,0.7016,0.6035,0.7405
12,0.4324,0.6012,0.4839,0.6012,0.4434,0.6012,0.5271
13,0.6534,0.8387,1.0096,0.8387,0.7931,0.8387,0.8287
14,0.4122,0.5221,0.3954,0.5221,0.4411,0.5221,0.4691
15,1.0429,0.3010,0.8337,0.3010,0.3884,0.3010,0.5282
16,0.9863,0.3455,0.9409,0.3455,0.5015,0.3455,0.5778
17,0.1141,1.1182,0.3838,1.1182,1.1469,1.1182,0.8330
18,1.6585,0.1774,0.8282,0.1774,0.4124,0.1774,0.3951
19,1.1672,0.7387,1.0931,0.7387,0.5807,0.7387,0.8429
20,1.3048,0.8261,1.2006,0.8261,0.6645,0.8261,0.9414
21,0.0300,0.1208,0.3449,0.1208,0.4019,0.1208,0.0694
22,0.0411,0.0845,0.4495,0.0845,0.2715,0.0845,0.0851
23,0.0196,0.0057,0.3205,0.0057,0.2696,0.0057,0.0925
24,0.0914,0.2724,0.0828,0.2724,0.2001,0.2724,0.1709
25,0.1322,0.3556,0.2459,0.3556,0.0386,0.3556,0.1080
26,0.2347,0.2615,0.3098,0.2615,0.0511,0.2615,0.0312
27,0.0452,0.2105,0.1770,0.2105,0.0313,0.2105,0.0628
28,0.1560,0.2645,0.0701,0.2645,0.1887,0.2645,0.1779
29,0.0539,0.2803,0.1671,0.2803,0.0643,0.2803,0.0923
30,0.3877,0.1118,0.2918,0.1118,0.4257,0.1118,0.1287
31,0.1654,0.3325,0.1967,0.3325,0.0389,0.3325,0.0991
32,0.1048,0.0576,0.0477,0.0576,0.0467,0.0576,0.0464
33,0.0765,0.2010,0.0363,0.2010,0.0424,0.2010,0.0886
34,0.2035,0.4171,0.2082,0.4171,0.4559,0.4171,0.3531
35,0.2599,0.0254,0.1036,0.0254,0.0047,0.0254,0.0487
36,0.0994,0.1523,0.4098,0.1523,0.0064,0.1523,0.0079
37,0.2515,0.1667,0.6313,0.1667,0.1952,0.1667,0.0967
38,0.2139,0.2517,0.5201,0.2517,0.0988,0.2517,0.0197
39,0.5098,0.3841,0.6402,0.3841,0.6768,0.3841,0.4967
40,0.6740,0.5358,0.8334,0.5358,0.8744,0.5358,0.6651
41,0.3082,0.5843,0.2616,0.5843,0.2992,0.5843,0.4367
42,0.5180,0.0384,0.1672,0.0384,0.2327,0.0384,0.0562
43,0.6690,0.4434,0.3743,0.4434,0.1294,0.4434,0.4170
44,0.0727,0.0169,0.1943,0.0169,0.2309,0.0169,0.0747
45,0.2196,0.0698,0.3393,0.0698,0.3090,0.0698,0.1100
46,0.0136,0.2944,0.0984,0.2944,0.0883,0.2944,0.1180
47,0.1307,0.1040,0.0466,0.1040,0.1270,0.1040,0.0167
48,0.1445,0.3816,0.2269,0.3816,0.0818,0.3816,0.1422
49,0.1466,0.3006,0.2246,0.3006,0.0140,0.3006,0.0858
