Sample,DE_AE,SHADE_AE,CMA-ES_AE,NRBO_AE,BOA_AE,HHO-Lite_AE,Ensemble_AE
0,0.1700,0.1103,0.1662,0.0182,0.0195,0.0013,0.0442
1,0.3295,0.0635,0.3160,0.0143,0.0430,0.0008,0.1132
2,0.2804,0.2237,0.2706,0.3010,0.2039,0.0057,0.2141
3,0.0155,0.1055,0.0117,0.1248,0.1472,0.0004,0.0182
4,0.2158,0.1418,0.2164,0.0789,0.1479,0.0022,0.1068
5,0.0156,0.2891,0.0016,0.0729,0.1116,0.0043,0.0576
6,0.5042,0.1850,0.5042,0.0674,0.1833,0.0014,0.2185
7,0.2207,0.3817,0.2262,0.1035,0.0363,0.0016,0.1493
8,0.2065,1.1015,0.2073,0.1267,0.1089,0.0370,0.1472
9,0.0047,0.1196,0.0014,0.0769,0.0657,0.0023,0.0450
10,0.1718,0.1257,0.1850,0.1197,0.1123,0.0008,0.0002
11,0.2920,0.0339,0.2918,0.0944,0.0143,0.0006,0.1162
12,0.6174,0.0906,0.6203,0.0195,0.2587,0.0012,0.1812
13,0.0102,0.1153,0.0022,0.0027,0.1470,0.0002,0.0420
14,0.5974,0.0980,0.5914,0.1598,0.0194,0.0007,0.2053
15,0.0424,0.2742,0.0158,0.0605,0.0479,0.0658,0.0482
16,0.1368,0.2389,0.1342,0.2482,0.1679,0.0016,0.0984
17,0.0644,0.0251,0.0631,0.0803,0.0145,0.0001,0.0096
18,0.4983,0.0070,0.4906,0.0512,0.0949,0.0012,0.1882
19,0.0055,0.0164,0.0022,0.0643,0.1921,0.0074,0.0462
20,0.3950,0.9111,0.3886,0.0049,0.1712,0.0030,0.2521
21,0.0701,0.1114,0.0591,0.0177,0.0557,0.0049,0.0041
22,0.0305,0.0581,0.0069,0.1174,0.0174,0.0013,0.0111
23,0.2474,0.3581,0.2478,0.1370,0.1942,0.0034,0.1978
24,0.1475,0.0179,0.1471,0.2913,0.0232,0.0008,0.0908
25,0.2543,0.1099,0.2555,0.1288,0.0365,0.0013,0.1310
26,0.0167,0.2140,0.0173,0.1012,0.0340,0.0004,0.0188
27,0.4041,0.0107,0.4067,0.0083,0.1180,0.0007,0.1518
28,0.3461,0.2319,0.3432,0.2447,0.0421,0.0010,0.1243
29,0.0244,0.8343,0.0280,0.0109,0.0621,0.0003,0.1596
30,0.0735,0.0714,0.0786,0.1707,0.0975,0.0043,0.0501
31,0.0598,0.2200,0.0628,0.0139,0.1590,0.0024,0.0854
32,0.2454,0.1683,0.2451,0.0730,0.0107,0.0031,0.0683
33,0.0771,0.3150,0.0885,0.0286,0.0133,0.0004,0.0318
34,0.2618,0.2966,0.2571,0.0154,0.0951,0.0017,0.1228
35,0.1262,0.1340,0.1262,0.0112,0.1851,0.0029,0.0135
36,0.0153,0.0430,0.0192,0.0596,0.1506,0.0072,0.0011
37,0.3810,0.0379,0.3794,0.0033,0.1804,0.0027,0.1632
38,0.0337,0.4884,0.0269,0.0148,0.0223,0.0063,0.0911
39,0.2151,0.0798,0.2057,0.1329,0.2345,0.0022,0.1001
40,0.2341,0.0684,0.2344,0.0246,0.0637,0.0058,0.0819
41,0.0578,0.9456,0.0626,0.0018,0.3071,0.0075,0.2275
42,0.5354,0.1438,0.5316,0.0862,0.0286,0.0048,0.1739
43,0.0249,0.4534,0.0266,0.3375,0.0629,0.0069,0.1346
44,0.5926,0.5233,0.5926,0.0092,0.0116,0.0052,0.2840
45,0.2189,0.2248,0.2188,0.0315,0.2657,0.0010,0.0142
46,0.4169,0.0505,0.4159,0.0408,0.2179,0.0040,0.1897
47,0.3703,0.1491,0.3663,0.0621,0.0172,0.0038,0.1061
48,0.0389,0.1429,0.0365,0.1127,0.0142,0.0009,0.0198
49,0.5212,0.1760,0.5163,0.2349,0.0066,0.0024,0.2428
50,0.2403,0.0314,0.2505,0.0549,0.2423,0.0030,0.1084
51,0.0179,0.1100,0.0096,0.0756,0.0812,0.0006,0.0180
52,0.0054,0.5039,0.0083,0.0382,0.0886,0.0039,0.1033
53,0.0842,0.8507,0.0929,0.1344,0.1076,0.0018,0.1750
54,0.2107,0.1202,0.2135,0.0950,0.0442,0.0040,0.0733
55,0.0239,1.2985,0.0097,0.0445,0.2478,0.0167,0.2581
56,0.0097,0.2399,0.0130,0.0917,0.0050,0.0023,0.0296
57,0.0418,0.0047,0.0397,0.0430,0.1740,0.0018,0.0487
58,0.0172,1.7864,0.0163,0.0314,0.0504,0.0006,0.3160
