Sample,DE_AE,SHADE_AE,CMA-ES_AE,NRBO_AE,BOA_AE,HHO-Lite_AE,Ensemble_AE
0,9.7845,2.0596,9.2671,14.9599,3.6618,9.0614,8.1321
1,5.9712,5.6674,6.5561,2.4273,6.1888,0.3033,4.5387
2,5.4574,2.6108,5.5881,0.1836,1.6676,5.8904,2.1517
3,3.9386,0.5954,1.8702,0.5572,0.2705,2.5051,1.2504
4,3.5808,6.1236,8.1515,11.3379,5.4500,1.3166,2.0409
5,32.5776,2.3011,13.0135,1.4008,1.1865,15.8208,10.6873
6,6.9104,3.3962,10.4452,18.7427,8.4480,6.8628,9.1197
7,12.9407,4.7054,4.2382,0.4757,2.0471,3.4517,0.2648
8,2.1243,4.9577,5.5574,0.1519,2.7953,4.6202,0.9871
9,6.3554,2.4282,9.5222,14.3246,4.0879,9.3054,7.6557
10,17.4715,23.4344,16.2630,12.1578,21.8180,16.4760,17.9423
11,13.5972,21.7150,14.4243,11.2007,20.1164,14.7245,15.9584
12,9.1051,17.1777,9.8920,8.4448,15.5900,10.3712,11.7562
13,0.0700,2.8330,2.1286,4.0092,3.6509,5.5628,2.9972
14,5.4374,2.7593,14.9494,1.6379,0.0714,13.7321,6.3991
15,2.7477,33.4781,25.2786,18.2981,35.0559,29.6500,23.0399
16,10.2168,0.9259,6.5740,4.2431,1.5353,7.5799,4.8907
17,3.3790,3.8594,6.0383,0.1999,3.2505,5.3046,1.8657
18,6.6583,6.7639,7.9379,2.8526,7.0053,1.8772,4.5904
19,7.8204,8.1529,8.7444,5.9468,8.8341,2.6404,7.0389
20,10.5867,11.6240,11.3774,0.9995,11.2400,3.6489,8.2767
21,19.7954,16.3892,5.3792,0.8909,8.4458,9.0237,9.7473
22,5.7017,12.5354,1.2707,6.7624,7.8105,6.3300,2.5426
23,3.1703,1.0259,5.3797,3.9975,0.8091,3.6760,2.3998
24,3.3816,16.4780,12.4448,1.5645,14.4043,12.8371,10.1581
25,16.6665,9.3244,19.9709,4.9710,14.2871,27.1743,15.3911
26,12.4216,12.4695,14.6311,13.2756,12.5964,13.4335,13.1351
27,10.9893,6.0904,6.1252,1.4971,3.9947,1.2352,2.5771
28,6.8014,2.8163,7.8241,7.7016,1.8753,9.5062,6.0834
29,6.0362,2.6053,6.5748,12.5557,2.8596,17.0735,7.9162
30,8.3654,8.3544,9.4778,4.5669,6.2560,8.6733,7.6217
31,0.3391,3.1050,13.5261,5.4730,4.4457,9.6891,4.1423
32,4.9693,3.4504,6.7358,1.6696,1.3589,0.5634,0.8063
33,4.9343,4.4390,11.3743,7.1507,8.1196,8.0911,3.2898
34,9.1165,4.4273,12.8977,9.3102,10.8986,6.6883,8.8970
35,1.5888,4.8618,7.0211,5.6393,4.9873,5.8235,4.9704
36,3.2018,1.6334,12.9765,12.8263,1.2724,7.0649,6.4788
37,5.9080,5.5853,6.7720,3.2058,5.9898,3.2325,5.1265
38,8.1669,6.9395,7.0188,3.0948,6.0169,5.8537,6.1956
39,2.4594,1.9883,5.5879,2.1721,3.3815,2.7024,1.5462
40,5.3040,10.8099,3.0356,4.5580,1.6557,13.1365,4.5847
41,12.3057,5.4948,7.1333,0.7396,9.2539,2.9481,6.3528
42,0.4673,6.0425,4.6753,6.3227,9.7827,8.5909,5.7867
43,4.0562,15.2860,7.4687,7.7930,17.1341,9.9373,10.2506
44,3.9508,2.7050,12.4712,1.8134,3.6539,4.3513,4.8302
45,4.2925,8.4512,14.1560,15.5400,8.8454,11.2635,10.3926
46,2.6617,6.6887,5.2577,0.7006,3.7081,0.6664,0.4025
47,12.9020,10.0991,9.9955,6.1874,5.4797,6.8913,8.6209
48,5.0914,2.7734,1.4368,1.2056,1.7389,2.2637,0.2109
49,0.9814,17.3888,17.0160,13.2009,17.4474,20.4594,14.0076
50,1.4218,0.4640,7.9307,3.7729,0.8887,4.0782,1.3888
51,11.0669,10.4014,18.7012,3.8904,15.3890,9.9090,11.5729
52,1.4323,2.4420,0.6849,3.4033,0.8194,0.8287,1.3718
53,1.9284,1.8804,0.2811,1.0739,1.7535,0.9165,1.2149
54,16.6046,15.6407,16.3981,21.9105,16.1730,21.2677,17.9802
55,2.6447,3.4063,3.3568,2.1586,3.9793,3.1810,1.3622
56,5.9828,4.6878,5.8428,4.7534,1.4048,2.7598,2.6798
