Sample,DE_AE,SHADE_AE,CMA-ES_AE,NRBO_AE,BOA_AE,HHO-Lite_AE,Ensemble_AE
0,0.0162,0.0198,0.0737,0.1578,0.0644,0.1578,0.0500
1,0.0193,0.0593,0.3487,0.0434,0.0406,0.0434,0.0808
2,0.0059,0.0275,0.2626,0.0517,0.0295,0.0517,0.0625
3,0.7019,0.6510,0.3500,0.1039,0.6189,0.1039,0.4328
4,0.7732,0.4815,0.3539,0.1363,0.6901,0.1363,0.3545
5,0.0697,0.1054,0.4643,0.2446,0.1713,0.2446,0.0542
6,0.1037,0.2197,0.0638,0.0821,0.2727,0.0821,0.1390
7,0.2653,0.4315,0.1083,0.4499,0.4489,0.4499,0.3550
8,0.2769,0.3907,0.5517,0.3589,0.2472,0.3589,0.3647
9,1.0773,0.7744,1.1064,0.3561,0.5472,0.3561,0.7167
10,1.2996,1.0166,1.3819,0.8358,0.8731,0.8358,1.0489
11,1.1888,0.8382,1.2320,0.6035,0.7016,0.6035,0.8717
12,0.4324,0.7649,0.8020,0.6012,0.4434,0.6012,0.6083
13,0.6534,0.7319,0.5290,0.8387,0.7931,0.8387,0.7264
14,0.4122,0.6081,1.1397,0.5221,0.4411,0.5221,0.6117
15,1.0429,0.2808,0.7429,0.3010,0.3884,0.3010,0.5179
16,0.9863,0.5066,0.9547,0.3455,0.5015,0.3455,0.6171
17,0.1141,1.0630,0.1296,1.1182,1.1469,1.1182,0.7673
18,1.6585,0.6133,0.7071,0.1774,0.4124,0.1774,0.5321
19,1.1672,0.3419,0.6817,0.7387,0.5807,0.7387,0.7075
20,1.3048,0.3868,0.6840,0.8261,0.6645,0.8261,0.7808
21,0.0300,0.5299,0.3671,0.1208,0.4019,0.1208,0.1920
22,0.0411,0.2807,0.1962,0.0845,0.2715,0.0845,0.1101
23,0.0196,0.3694,0.1895,0.0057,0.2696,0.0057,0.1377
24,0.0914,0.2723,0.1223,0.2724,0.2001,0.2724,0.2025
25,0.1322,0.1078,0.0876,0.3556,0.0386,0.3556,0.1143
26,0.2347,0.0604,0.0123,0.2615,0.0511,0.2615,0.0440
27,0.0452,0.0937,0.1854,0.2105,0.0313,0.2105,0.1004
28,0.1560,0.2063,0.0198,0.2645,0.1887,0.2645,0.1732
29,0.0539,0.0865,0.1357,0.2803,0.0643,0.2803,0.1049
30,0.3877,0.3540,0.0407,0.1118,0.4257,0.1118,0.1594
31,0.1654,0.0536,0.0344,0.3325,0.0389,0.3325,0.0827
32,0.1048,0.2552,0.0146,0.0576,0.0467,0.0576,0.0695
33,0.0765,0.0417,0.1623,0.2010,0.0424,0.2010,0.0772
