Sample,DE_AE,SHADE_AE,CMA-ES_AE,NRBO_AE,BOA_AE,HHO-Lite_AE,Ensemble_AE
0,0.0299,0.0003,0.0003,0.0015,0.0195,0.0013,0.0013
1,0.0051,0.0008,0.0002,0.0008,0.0430,0.0008,0.0061
2,0.0282,0.0004,0.0009,0.0010,0.2039,0.0057,0.0297
3,0.0120,0.0002,0.0008,0.0001,0.1472,0.0004,0.0267
4,0.0068,0.0007,0.0005,0.0013,0.1479,0.0022,0.0249
5,0.0541,0.0119,0.0046,0.0040,0.1116,0.0043,0.0136
6,0.0097,0.0005,0.0004,0.0002,0.1833,0.0014,0.0323
7,0.0630,0.0014,0.0003,0.0021,0.0363,0.0016,0.0041
8,0.0285,0.0038,0.0006,0.0072,0.1089,0.0370,0.0150
9,0.0802,0.0011,0.0015,0.0001,0.0657,0.0023,0.0242
10,0.0017,0.0001,0.0004,0.0002,0.1123,0.0008,0.0189
11,0.0245,0.0001,0.0006,0.0008,0.0143,0.0006,0.0066
12,0.0046,0.0004,0.0004,0.0008,0.2587,0.0012,0.0422
13,0.0359,0.0002,0.0007,0.0007,0.1470,0.0002,0.0304
14,0.0024,0.0006,0.0001,0.0019,0.0194,0.0007,0.0040
15,0.0778,0.0127,0.0120,0.0043,0.0479,0.0658,0.0051
16,0.0526,0.0005,0.0002,0.0001,0.1679,0.0016,0.0189
17,0.0305,0.0001,0.0002,0.0001,0.0145,0.0001,0.0075
18,0.0497,0.0007,0.0004,0.0005,0.0949,0.0012,0.0075
19,0.2415,0.0034,0.0050,0.0070,0.1921,0.0074,0.0732
20,0.0170,0.0001,0.0010,0.0015,0.1712,0.0030,0.0257
21,0.0312,0.0001,0.0000,0.0015,0.0557,0.0049,0.0155
22,0.0764,0.0016,0.0009,0.0003,0.0174,0.0013,0.0159
23,0.1120,0.0005,0.0003,0.0016,0.1942,0.0034,0.0517
24,0.0023,0.0003,0.0006,0.0006,0.0232,0.0008,0.0042
25,0.0248,0.0000,0.0008,0.0008,0.0365,0.0013,0.0104
26,0.0288,0.0003,0.0003,0.0009,0.0340,0.0004,0.0011
27,0.0080,0.0002,0.0004,0.0001,0.1180,0.0007,0.0210
28,0.0203,0.0002,0.0002,0.0003,0.0421,0.0010,0.0038
29,0.0244,0.0005,0.0004,0.0014,0.0621,0.0003,0.0061
30,0.0728,0.0000,0.0005,0.0020,0.0975,0.0043,0.0272
31,0.0212,0.0001,0.0002,0.0004,0.1590,0.0024,0.0296
32,0.0056,0.0001,0.0001,0.0000,0.0107,0.0031,0.0014
33,0.0045,0.0001,0.0016,0.0030,0.0133,0.0004,0.0023
34,0.0115,0.0002,0.0005,0.0010,0.0951,0.0017,0.0136
35,0.0182,0.0002,0.0001,0.0007,0.1851,0.0029,0.0342
36,0.0383,0.0005,0.0007,0.0009,0.1506,0.0072,0.0302
37,0.0008,0.0006,0.0002,0.0000,0.1804,0.0027,0.0293
38,0.0583,0.0011,0.0007,0.0025,0.0223,0.0063,0.0127
39,0.0092,0.0008,0.0002,0.0006,0.2345,0.0022,0.0371
40,0.0802,0.0003,0.0009,0.0001,0.0637,0.0058,0.0247
41,0.0284,0.0002,0.0004,0.0011,0.3071,0.0075,0.0451
42,0.0163,0.0004,0.0006,0.0001,0.0286,0.0048,0.0030
43,0.0086,0.0007,0.0014,0.0052,0.0629,0.0069,0.0140
44,0.0983,0.0003,0.0003,0.0022,0.0116,0.0052,0.0170
