Sample,DE_AE,SHADE_AE,CMA-ES_AE,NRBO_AE,BOA_AE,HHO-Lite_AE,Ensemble_AE
0,0.0008,0.0010,0.0652,0.0991,0.0255,0.0044,0.0104
1,0.0001,0.0002,0.0574,0.1597,0.0058,0.0002,0.0179
2,0.0010,0.0001,0.1324,0.1360,0.0873,0.0206,0.0628
3,0.0005,0.0018,0.0099,0.0066,0.1141,0.0010,0.0221
4,0.0009,0.0041,0.0492,0.0997,0.0115,0.0017,0.0072
5,0.0007,0.0025,0.0370,0.4711,0.0125,0.0062,0.0852
6,0.0030,0.0013,0.0372,0.0700,0.0436,0.0111,0.0147
7,0.0011,0.0013,0.0776,0.1112,0.0322,0.0005,0.0261
8,0.0007,0.0010,0.0222,0.3368,0.0092,0.0065,0.0497
9,0.0036,0.0033,0.1085,0.1432,0.0152,0.0406,0.0365
10,0.0020,0.0027,0.0449,0.0518,0.0229,0.0034,0.0117
11,0.0070,0.0071,0.0173,0.0421,0.0209,0.0562,0.0251
12,0.0007,0.0004,0.0942,0.0601,0.0295,0.0046,0.0113
13,0.0003,0.0082,0.0246,0.0381,0.0234,0.0080,0.0060
14,0.0011,0.0022,0.0019,0.2349,0.0389,0.0029,0.0458
15,0.0125,0.0052,0.0880,0.0806,0.0287,0.0200,0.0325
16,0.0068,0.0056,0.0234,0.0928,0.0565,0.0120,0.0021
17,0.0007,0.0005,0.1908,0.3020,0.1077,0.0099,0.1018
18,0.0014,0.0021,0.0742,0.5868,0.2652,0.0074,0.1530
19,0.0026,0.0004,0.0577,0.0989,0.0259,0.0027,0.0313
20,0.0002,0.0011,0.0757,0.0538,0.0526,0.0389,0.0117
21,0.0027,0.0006,0.0867,0.0063,0.0603,0.0021,0.0242
22,0.0023,0.0025,0.0573,0.1345,0.0230,0.0247,0.0232
23,0.0009,0.0037,0.1271,0.0641,0.0494,0.0040,0.0250
24,0.0004,0.0008,0.0674,0.1238,0.0766,0.0051,0.0025
25,0.0081,0.0070,0.0088,0.1613,0.0530,0.0336,0.0084
26,0.0015,0.0049,0.0715,0.3156,0.0493,0.0501,0.0580
27,0.0051,0.0035,0.0907,0.0198,0.0772,0.0402,0.0090
