Sample,DE_AE,SHADE_AE,CMA-ES_AE,NRBO_AE,BOA_AE,HHO-Lite_AE,Ensemble_AE
0,0.0007,0.0003,0.0811,0.0489,0.0002,0.1918,0.0540
1,0.0012,0.0008,0.0965,0.0722,0.0000,0.4141,0.0985
2,0.0096,0.0026,0.0186,0.0884,0.0006,0.2923,0.0665
3,0.0035,0.0001,0.2734,0.2611,0.0000,0.8249,0.2286
4,0.0150,0.0078,0.2075,0.0483,0.0011,0.1082,0.0409
5,0.0030,0.0153,0.0182,0.2031,0.0001,0.6891,0.1510
6,0.0063,0.0009,0.3293,0.4017,0.0014,0.8763,0.2701
7,0.0361,0.0051,0.2265,0.0472,0.0004,0.3654,0.1140
8,0.0121,0.0112,0.3737,0.5410,0.0010,0.4508,0.2343
9,0.0173,0.0287,0.0884,0.0323,0.0007,0.3023,0.0495
10,0.0217,0.0225,0.2537,0.2362,0.0014,0.9882,0.2567
11,0.0008,0.0116,0.0179,0.0384,0.0013,0.4743,0.0682
12,0.0163,0.0308,0.4647,0.2974,0.0008,1.0086,0.3060
13,0.0287,0.1090,0.4516,0.3578,0.0046,0.4777,0.2403
14,0.0098,0.0014,0.3086,0.2815,0.0002,0.2864,0.1495
15,0.0995,0.2242,0.5292,0.6808,0.0166,1.3428,0.4871
16,0.0453,0.0572,0.3775,0.5200,0.0030,0.7767,0.2990
17,0.0120,0.0128,0.2039,0.1449,0.0015,0.2036,0.0390
18,0.0178,0.0407,0.1731,0.8896,0.0005,0.7818,0.3225
19,0.0286,0.0305,0.4007,0.2833,0.0003,1.1684,0.3217
20,0.0177,0.0345,0.5400,0.4795,0.0007,0.8462,0.3229
21,0.0070,0.0151,0.0622,0.2255,0.0010,0.0809,0.0159
22,0.0009,0.0194,0.2569,0.2089,0.0027,0.4885,0.1637
23,0.0038,0.0315,0.0464,0.0830,0.0018,0.6429,0.1242
24,0.0372,0.0307,0.4205,0.1358,0.0014,0.0689,0.1159
25,0.0146,0.0731,0.2714,0.3615,0.0076,0.8582,0.2650
26,0.1142,0.2719,0.2063,1.3368,0.0072,0.9265,0.4820
27,0.0199,0.0546,0.0750,0.0198,0.0003,0.0939,0.0124
28,0.0519,0.0709,0.5845,0.2794,0.0012,0.6323,0.2718
29,0.0020,0.0258,0.1917,0.2240,0.0000,0.4629,0.1529
30,0.0127,0.0229,0.3817,0.0726,0.0006,0.2669,0.1267
31,0.0126,0.0033,0.1014,0.1334,0.0004,0.1996,0.0707
32,0.0034,0.0102,0.0651,0.1160,0.0020,0.1649,0.0384
33,0.0147,0.0088,0.2974,0.0114,0.0015,0.3552,0.0085
34,0.0231,0.0040,0.2820,0.0333,0.0005,0.5315,0.1278
35,0.0121,0.0064,0.0204,0.0415,0.0001,0.2184,0.0301
36,0.0024,0.0013,0.3621,0.0777,0.0004,0.5358,0.1374
37,0.0121,0.0021,0.1357,0.4660,0.0002,0.7854,0.2364
38,0.0082,0.0072,0.0335,0.1021,0.0005,0.4098,0.0460
39,0.0109,0.0544,0.1510,0.0080,0.0034,0.2849,0.0832
40,0.0042,0.0009,0.0190,0.0352,0.0003,0.2667,0.0350
41,0.0195,0.0221,0.0947,0.0485,0.0001,0.2456,0.0586
42,0.0220,0.0342,0.2450,0.1769,0.0013,0.5732,0.0975
43,0.0952,0.0383,0.4264,0.0067,0.0036,0.1306,0.0253
44,0.0272,0.0332,0.2860,0.4174,0.0012,0.7563,0.2364
45,0.0166,0.0144,0.4378,0.2219,0.0007,0.5441,0.2075
46,0.0135,0.0497,0.1580,0.3600,0.0058,0.3053,0.1508
47,0.0701,0.2190,0.1622,0.5762,0.0068,0.7285,0.2975
48,0.0130,0.0112,0.0669,0.0064,0.0002,0.0385,0.0204
49,0.0173,0.0017,0.2839,0.3130,0.0016,1.1311,0.2893
50,0.0119,0.0020,0.0289,0.0214,0.0004,0.4369,0.0799
51,0.0447,0.0326,0.4082,0.3746,0.0045,1.1119,0.3327
52,0.0020,0.0001,0.1380,0.2250,0.0023,0.6939,0.1326
53,0.5731,0.7393,0.1855,0.2468,0.0458,0.5822,0.1364
54,0.0289,0.0377,0.4967,0.6290,0.0013,0.8588,0.3461
55,0.0247,0.0339,0.2499,0.1577,0.0023,0.4158,0.1486
56,0.0333,0.0390,0.2851,0.4097,0.0015,0.7900,0.2623
57,0.0318,0.0108,0.0997,0.0706,0.0006,0.2876,0.0701
58,0.0024,0.0146,0.0700,0.1302,0.0039,0.4427,0.1108
59,0.1055,0.1350,0.0965,0.6773,0.0058,0.0557,0.1479
60,0.0541,0.0974,0.2320,0.3070,0.0007,0.4832,0.1976
61,0.0271,0.0892,0.2817,0.4274,0.0105,0.9033,0.2933
62,0.0026,0.0031,0.0117,0.2172,0.0005,0.5684,0.1313
63,0.0181,0.0144,0.0918,0.0606,0.0026,0.1382,0.0538
64,0.1016,0.0896,0.2684,0.5528,0.0023,0.7470,0.2961
65,0.0114,0.0213,0.4574,0.2181,0.0000,0.4212,0.1896
66,0.0461,0.0089,0.1783,0.4411,0.0019,0.3832,0.1789
67,0.0208,0.0306,0.0601,0.1746,0.0004,0.1295,0.0066
68,0.0363,0.0586,0.0953,0.0087,0.0014,0.1285,0.0206
69,0.0208,0.1101,0.2870,0.7135,0.0057,0.8782,0.3407
70,0.0524,0.0069,0.4775,0.4172,0.0008,0.3974,0.2271
71,0.0060,0.0090,0.1908,0.1440,0.0004,0.0278,0.0634
72,0.6535,1.1842,0.3409,3.7572,0.0691,1.0038,1.1837
73,0.0042,0.0025,0.1203,0.1380,0.0019,0.0176,0.0013
