Actual,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite,WeightedAvg_Pred
49.6800,65.8017,51.7396,58.9471,67.1071,54.7483,58.7414,59.5207
65.3400,59.0446,59.6726,58.7839,57.4244,59.6916,65.0367,59.9321
51.5300,47.8797,48.9192,57.1181,51.7015,50.3779,57.4204,52.2243
55.2600,50.7369,54.6646,57.1302,54.5902,55.6249,57.7651,55.0739
49.5100,43.1625,43.3864,57.6615,49.0221,50.2441,48.1934,48.6072
15.2300,37.1151,17.5311,28.2435,31.8777,18.9764,31.0508,27.4781
52.2400,35.3806,48.8438,41.7948,39.6154,43.3637,45.3772,42.3814
27.8000,20.2984,32.5054,32.0382,16.8631,30.6928,31.2517,27.2687
9.6200,10.3509,4.6623,15.1774,5.7912,5.0465,14.2402,9.2164
49.4500,62.7890,51.8782,58.9722,65.3989,54.8102,58.7554,58.7694
75.2200,64.6292,51.7856,58.9570,63.9188,54.5625,58.7440,58.7735
73.3500,64.4336,51.6350,58.9257,64.2220,54.1671,58.6255,58.6753
68.8100,62.4557,51.6323,58.9180,59.4852,54.1895,58.4388,57.5277
59.2000,54.3437,56.3670,57.0714,50.5447,54.7054,53.6372,54.4539
48.8800,43.1083,46.1207,33.9306,40.8956,45.2943,35.1479,40.7546
18.0500,42.3113,51.5281,43.3286,33.9121,44.5581,47.7000,43.8921
62.2200,48.5046,63.1459,55.6460,51.8701,59.7501,54.6401,55.5843
9.1900,10.4283,5.3306,3.1517,6.6222,6.7455,14.4946,7.7833
67.1700,77.2586,60.4061,59.2321,74.6911,61.3468,65.2928,66.3801
67.1700,56.5059,59.0171,58.4256,55.4273,58.2785,64.5296,58.6855
47.0200,55.8645,58.6440,58.3974,51.6427,58.1783,50.6689,55.5817
35.7600,38.1479,52.1492,41.1392,37.8271,42.2331,44.7837,42.7097
38.4200,38.3190,50.9554,39.6907,44.3591,46.2802,44.7500,44.0429
38.7400,34.9886,39.7659,33.3603,9.3113,37.2767,35.0640,31.6494
31.0800,32.3755,47.5580,43.5248,16.3889,44.3557,43.9171,38.0234
9.5400,30.7881,18.8644,29.5109,23.6850,23.9096,36.7143,27.2391
16.9100,6.7628,4.4405,2.2789,7.0117,3.9943,3.4765,4.6627
42.7800,41.8496,48.8704,36.6548,41.0089,47.9341,41.5448,42.9699
66.4100,57.5548,63.5937,58.5859,53.8931,62.5574,56.9038,58.8523
65.5200,55.3653,62.9147,58.9452,51.9345,62.0854,48.4465,56.6330
50.5300,51.8467,58.8844,60.0078,42.3888,53.1789,59.2033,54.2597
39.2800,31.8705,42.3850,52.8061,26.8809,40.7559,48.9691,40.6069
9.4600,7.3638,12.9104,2.7242,3.4977,10.3351,10.0234,7.8023
28.9300,24.5725,33.3690,40.3043,10.8909,38.4613,37.0211,30.7689
3.9100,12.1748,8.3373,16.8077,12.3301,16.5654,10.5983,12.8034
9.3000,6.7628,4.4382,2.2789,7.0117,2.6884,3.4765,4.4461
58.8000,75.4073,60.4334,71.7765,76.3773,61.2476,65.8649,68.5359
65.6800,63.3990,60.0947,58.9080,55.8499,60.4584,62.4475,60.1971
50.9100,53.9604,57.8495,57.9288,43.1514,56.7215,56.7637,54.4048
55.1500,46.9672,57.1383,49.5621,46.4717,48.9368,52.4476,50.2519
46.8300,43.7828,36.0201,43.7944,39.6901,46.1963,33.6935,40.5441
15.4400,17.2943,20.9348,22.5733,30.7388,22.1061,18.3881,21.9953
54.8200,49.4837,48.7775,50.1447,49.3122,41.4366,46.2291,47.5793
3.7000,10.9945,18.9860,11.1687,18.7947,22.7284,13.6373,16.0322
3.0900,6.7628,5.7950,15.5612,4.4741,7.8149,7.4413,7.9847
57.5200,77.4381,65.9712,71.6760,75.7388,67.0173,68.7835,71.1186
66.0800,60.3249,59.3913,71.3377,59.0132,59.2604,66.7464,62.6824
45.8600,50.0653,55.9591,55.8555,46.2653,46.7595,52.7513,51.2890
52.2100,49.5660,49.4366,53.6468,46.4193,49.8774,49.9463,49.8221
10.9500,19.9024,28.3388,27.9660,32.9737,26.4424,31.4094,27.8139
12.1300,8.0617,11.6660,20.0607,18.5140,23.5658,16.2082,16.3216
45.4000,29.4572,34.9986,26.6988,37.9513,31.0284,35.4910,32.5839
3.2400,6.7628,5.6820,2.5551,7.3274,2.1370,4.0687,4.7592
2.5600,6.7628,4.4404,2.2789,3.9569,3.7055,3.4765,4.1085
44.1900,67.8510,59.8307,60.5881,67.6468,61.5365,65.4577,63.8159
61.7000,58.0871,58.2937,58.3432,62.2218,57.5137,64.8810,59.8749
40.1800,39.7039,35.4922,34.3372,43.8810,40.1957,37.4202,38.4957
54.2600,51.3628,51.8482,52.2070,48.4461,55.4275,49.2039,51.4194
44.9700,36.7748,23.1467,33.2908,36.2950,36.0413,31.9692,32.9166
11.6900,6.7628,4.4406,9.0857,5.2686,5.0585,3.5510,5.7050
