Actual,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite,WeightedAvg_Pred,IsDifficult
76.7537,76.7699,76.9115,76.5585,76.9115,76.6893,76.9115,76.7918,False
77.2228,77.2421,77.2663,77.0577,77.2663,77.1822,77.2663,77.2134,False
76.9535,76.9595,77.0052,76.7701,77.0052,76.9240,77.0052,76.9448,False
76.8677,77.5695,76.9715,77.1509,76.9715,77.4865,76.9715,77.1873,False
76.6592,77.4325,76.5229,76.9969,76.5229,77.3493,76.5229,76.8918,False
77.2713,77.2016,77.0267,77.1755,77.0267,77.0999,77.0267,77.0929,False
78.4352,78.5390,78.5173,78.9170,78.5173,78.7079,78.5173,78.6195,False
78.8673,79.1326,79.3172,79.5867,79.3172,79.3161,79.3172,79.3312,False
78.4965,78.7733,78.8554,78.8013,78.8554,78.7437,78.8554,78.8140,False
82.2688,81.1914,81.9127,81.6884,81.9127,81.7216,81.9127,81.7231,False
82.1708,80.8713,81.3350,81.2443,81.3350,81.2977,81.3350,81.2363,False
82.2811,81.0923,81.6775,81.5398,81.6775,81.5795,81.6775,81.5406,False
79.3912,79.8237,79.9925,79.8752,79.9925,79.8347,79.9925,79.9184,False
79.5079,80.1613,80.3466,80.5175,80.3466,80.3010,80.3466,80.3366,False
79.3278,79.7400,79.8499,79.7232,79.8499,79.7689,79.8499,79.7969,False
80.8325,79.7896,80.5315,79.9988,80.5315,80.4441,80.5315,80.3043,False
80.2217,79.2354,79.8763,79.2808,79.8763,79.7202,79.8763,79.6439,False
80.5588,80.6729,81.6770,80.9426,81.6770,81.7057,81.6770,81.3918,False
81.1215,79.4629,81.2988,80.2932,81.2988,80.7091,81.2988,80.7263,False
81.1331,79.9659,80.3944,80.0400,80.3944,80.5524,80.3944,80.2902,False
81.2499,79.9451,80.4237,80.0493,80.4237,80.5853,80.4237,80.3085,False
78.9712,79.0012,78.8504,79.3161,78.8504,79.3731,78.8504,79.0407,False
79.3067,79.3478,79.2222,79.7562,79.2222,79.5782,79.2222,79.3918,False
78.8984,78.8788,78.8927,79.2189,78.8927,79.1680,78.8927,78.9909,False
76.4622,76.5536,76.7346,76.3794,76.7346,76.6622,76.7346,76.6330,False
77.0877,76.9556,77.4433,76.8419,77.4433,77.0492,77.4433,77.1957,False
76.1286,75.8939,76.3901,75.8188,76.3901,76.0776,76.3901,76.1598,False
77.3977,77.3525,77.6082,77.2207,77.6082,77.3664,77.6082,77.4605,False
76.4808,76.6368,76.7453,76.4107,76.7453,76.6695,76.7453,76.6587,False
77.6330,77.5791,77.9133,77.4660,77.9133,77.5687,77.9133,77.7253,False
78.7121,78.3244,78.8239,78.4203,78.8239,78.2864,78.8239,78.5834,False
78.0107,77.8452,78.3432,77.8140,78.3432,77.9717,78.3432,78.1097,False
78.1211,78.0163,78.0635,78.0734,78.0635,78.1678,78.0635,78.0747,False
