Actual,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite,WeightedAvg_Pred,IsDifficult
32.8242,32.9942,32.7139,32.9904,32.8424,32.8437,32.8255,32.8684,False
26.6372,26.3077,26.5737,26.3212,26.6229,26.6801,26.6380,26.5240,False
30.9645,31.2448,31.1882,31.2350,31.2654,31.1684,30.9702,31.1785,False
27.9144,27.9299,28.0200,27.9261,28.0393,27.7673,27.9141,27.9326,False
32.6101,32.3943,32.4683,32.3937,32.6889,32.4621,32.6123,32.5033,False
28.2814,28.2657,27.9922,28.2830,28.3543,28.1697,28.2771,28.2237,False
43.0994,43.6037,43.2845,43.6037,43.0320,43.2827,43.1008,43.3179,False
45.9124,46.1331,46.2941,46.1386,46.0159,45.8761,45.9140,46.0618,False
46.0021,45.7956,47.1036,45.7948,46.1288,46.1110,45.9652,46.1493,False
43.3644,43.3597,43.2449,43.3630,43.2875,43.2988,43.3621,43.3194,False
44.1229,44.2947,43.9973,44.3079,44.0032,44.0106,44.1221,44.1227,False
40.0050,40.2970,40.0389,40.2968,40.0994,39.9907,40.0044,40.1212,False
34.5379,33.9205,34.4472,33.9176,34.5184,34.7966,34.5391,34.3567,False
29.5025,29.4924,29.6179,29.5048,29.4998,29.6496,29.5027,29.5445,False
40.1631,40.7605,40.0651,40.7545,40.3229,40.1437,40.1638,40.3684,False
32.4063,32.4487,32.6805,32.4221,32.3458,32.3584,32.4721,32.4545,False
32.0115,31.8747,31.7725,31.8773,31.7632,32.1794,32.0099,31.9131,False
31.6913,31.7558,31.7164,31.7544,31.6110,31.6768,31.6913,31.7010,False
55.1648,54.6665,55.1718,54.6742,55.1136,55.0700,55.1636,54.9766,False
43.2328,43.2383,43.2165,43.2307,43.1685,43.0407,43.2254,43.1866,False
47.6001,47.9951,48.5112,47.9886,47.5951,47.4288,47.5971,47.8522,False
53.3880,53.3179,53.4994,53.3289,53.3703,53.4437,53.3929,53.3922,False
50.0755,50.1059,50.0174,50.0686,50.1928,50.0581,50.0768,50.0866,False
32.0416,32.2889,32.3996,32.2893,32.1786,32.2358,32.0450,32.2394,False
30.9751,31.1226,30.9572,31.1222,31.2664,30.9519,30.9759,31.0660,False
26.1615,25.9073,26.0517,25.9060,26.0327,26.1251,26.1602,26.0306,False
22.3777,22.3611,22.5917,22.3604,22.2766,22.4117,22.3782,22.3965,False
27.0756,26.6716,27.0863,26.6690,27.0839,26.9577,27.0749,26.9238,False
36.0687,36.4148,35.8368,36.4119,36.3133,36.1108,36.0697,36.1930,False
37.6440,37.6196,36.8097,37.6160,37.6331,37.5819,37.6437,37.4844,False
48.2420,48.1686,48.1707,48.1634,48.0714,48.3395,48.2377,48.1920,False
34.2976,34.2378,34.0776,34.2348,34.2837,34.1386,34.3000,34.2122,False
31.6929,31.4475,31.8612,31.4478,31.6199,31.6822,31.6898,31.6246,False
45.9453,46.0224,45.6303,46.0338,45.9167,45.9320,45.9450,45.9135,False
53.3469,53.6087,53.6435,53.6040,53.3623,53.2518,53.3486,53.4697,False
32.7613,32.8875,32.6273,32.8875,32.7501,32.5762,32.7584,32.7478,False
35.0819,35.0666,35.0389,35.0627,35.0223,35.2325,35.0747,35.0830,False
37.7971,38.1782,37.8350,38.1765,37.8004,37.9775,37.7944,37.9604,False
37.5208,37.4870,37.0324,37.4939,37.5059,37.5430,37.5145,37.4297,False
34.4244,34.2093,34.3446,34.2187,34.5573,34.1899,34.4266,34.3243,False
