Actual,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite,WeightedAvg_Pred
49.6800,59.4645,51.7396,58.9471,64.6399,53.3418,58.7414,57.8121
65.3400,59.3688,59.6726,58.7839,62.9127,59.1512,65.0367,60.8013
51.5300,56.9874,48.9192,57.1181,51.7136,49.8624,57.4204,53.6817
55.2600,59.1986,54.6646,57.1302,54.7028,55.5305,57.7651,56.5104
49.5100,53.0908,43.3864,57.6615,38.1721,44.0600,48.1934,47.4691
15.2300,47.8076,17.5311,28.2435,13.8292,16.4165,31.0508,25.9173
52.2400,45.3296,48.8438,41.7948,33.4973,43.7920,45.3772,43.1203
27.8000,14.8593,32.5054,32.0382,28.2757,29.8471,31.2517,28.0648
9.6200,7.4957,4.6623,15.1774,9.7719,12.4153,14.2402,10.6071
49.4500,55.8054,51.8782,58.9722,63.7746,53.5379,58.7554,57.1057
75.2200,57.7485,51.7856,58.9570,63.0622,53.4020,58.7440,57.2777
73.3500,59.7528,51.6350,58.9257,62.1493,53.2336,58.6255,57.3916
68.8100,59.7049,51.6323,58.9180,60.3652,53.2200,58.4388,57.0538
59.2000,59.2700,56.3670,57.0714,55.1908,55.5491,53.6372,56.2028
48.8800,43.4426,46.1207,33.9306,47.2421,48.9514,35.1479,42.4809
18.0500,15.3023,51.5281,43.3286,36.3481,53.1059,47.7000,41.0899
62.2200,52.0032,63.1459,55.6460,57.9769,60.6847,54.6401,57.3293
9.1900,5.8110,5.3306,3.1517,9.3899,5.9395,14.4946,7.3243
67.1700,60.5117,60.4061,59.2321,70.0226,60.1647,65.2928,62.5796
67.1700,59.3496,59.0171,58.4256,61.2232,58.3359,64.5296,60.1311
47.0200,57.6067,58.6440,58.3974,48.0195,58.2600,50.6689,55.2967
35.7600,55.5554,52.1492,41.1392,34.8691,44.2058,44.7837,45.5073
38.4200,32.7183,50.9554,39.6907,31.6576,46.2305,44.7500,40.9626
38.7400,35.5697,39.7659,33.3603,34.7425,39.5491,35.0640,36.3402
31.0800,34.4616,47.5580,43.5248,32.6445,45.4843,43.9171,41.2381
9.5400,26.2065,18.8644,29.5109,14.5110,23.8271,36.7143,24.9311
16.9100,4.4884,4.4405,2.2789,3.6344,4.3136,3.4765,3.7749
42.7800,53.7693,48.8704,36.6548,44.2771,46.7747,41.5448,45.3571
66.4100,59.6086,63.5937,58.5859,58.7084,64.5347,56.9038,60.3266
65.5200,59.4838,62.9147,58.9452,52.9643,62.6604,48.4465,57.6038
50.5300,58.8954,58.8844,60.0078,55.0969,56.7860,59.2033,58.1517
39.2800,38.9409,42.3850,52.8061,33.8070,43.7257,48.9691,43.4223
9.4600,4.4907,12.9104,2.7242,11.1296,10.8189,10.0234,8.6537
28.9300,23.9957,33.3690,40.3043,21.7793,37.0496,37.0211,32.2198
3.9100,13.0265,8.3373,16.8077,13.2202,14.8086,10.5983,12.8070
9.3000,7.7112,4.4382,2.2789,3.6607,4.3127,3.4765,4.3296
58.8000,62.0018,60.4334,71.7765,71.6263,60.0724,65.8649,65.2788
65.6800,59.7720,60.0947,58.9080,62.4742,59.6902,62.4475,60.5535
50.9100,59.0769,57.8495,57.9288,54.0048,56.9269,56.7637,57.1056
55.1500,57.6094,57.1383,49.5621,52.9779,51.7685,52.4476,53.6038
46.8300,52.1340,36.0201,43.7944,42.2720,45.1743,33.6935,42.2453
15.4400,27.7457,20.9348,22.5733,16.1796,24.6939,18.3881,21.7928
54.8200,55.2873,48.7775,50.1447,48.4973,45.0373,46.2291,49.0333
3.7000,7.7562,18.9860,11.1687,11.4930,20.8341,13.6373,13.9506
3.0900,7.0408,5.7950,15.5612,4.9034,6.7439,7.4413,7.9202
57.5200,61.8125,65.9712,71.6760,73.0600,66.3654,68.7835,67.9126
66.0800,68.7417,59.3913,71.3377,65.3794,62.3719,66.7464,65.6775
45.8600,58.7620,55.9591,55.8555,52.0474,51.3397,52.7513,54.4809
52.2100,57.3014,49.4366,53.6468,51.0044,50.4711,49.9463,51.9991
10.9500,9.9686,28.3388,27.9660,24.1509,28.3974,31.4094,24.9576
12.1300,13.5518,11.6660,20.0607,8.3571,11.2413,16.2082,13.5188
45.4000,34.3331,34.9986,26.6988,41.5096,30.0110,35.4910,33.8271
3.2400,4.6723,5.6820,2.5551,6.6433,4.0594,4.0687,4.6118
2.5600,4.4884,4.4404,2.2789,3.6339,4.3135,3.4765,3.7749
44.1900,60.7946,59.8307,60.5881,66.1005,60.3630,65.4577,62.1702
61.7000,59.0553,58.2937,58.3432,63.8586,57.7207,64.8810,60.3378
40.1800,34.1972,35.4922,34.3372,44.9334,38.7752,37.4202,37.5002
54.2600,54.1465,51.8482,52.2070,50.5611,56.8858,49.2039,52.4907
44.9700,42.5050,23.1467,33.2908,40.9185,26.7839,31.9692,33.1404
11.6900,15.5442,4.4406,9.0857,10.4543,4.3220,3.5510,7.9434
3.7000,5.1490,17.2572,9.3521,11.9114,10.5763,14.9772,11.4995
3.2600,4.5442,4.4490,9.2249,11.1042,4.4084,9.0383,7.1099
6.0100,4.4884,4.4405,2.2789,3.6349,4.3136,3.4765,3.7750
47.8400,59.8685,51.9215,58.9772,63.9628,53.6018,58.7571,57.8502
70.7900,59.2927,60.3368,58.9670,63.9302,60.0306,64.1343,61.0957
66.6400,59.3247,60.2540,58.9536,62.5897,59.9332,64.9782,60.9858
67.6300,59.3525,51.2589,58.8293,60.0283,52.8318,58.3310,56.7787
63.2200,59.2178,54.2984,58.2726,54.7226,53.5915,54.8312,55.8436
50.8000,55.5717,51.5438,44.3865,50.5268,47.9135,48.3810,49.7465
17.3500,14.8256,50.6106,46.7736,36.1738,51.9125,48.7849,41.3824
36.3400,28.3168,36.7398,47.8979,36.9036,38.9793,43.1238,38.6110
3.6000,4.5613,4.5908,2.3677,7.2409,4.4896,3.4877,4.4547
56.3000,69.2599,65.1860,71.8128,71.3898,60.0060,66.0922,67.3042
70.7500,68.0205,67.3986,70.1504,65.2694,59.2141,69.0125,66.5187
50.7800,58.6275,55.2399,56.0256,60.4568,54.4331,62.3202,57.8405
50.7300,47.8820,56.0568,50.5989,57.7966,55.1877,57.8927,54.1920
45.5000,39.5437,36.6879,38.8433,51.1939,35.8336,38.9439,40.1629
13.8100,25.7595,24.0363,19.2335,26.3190,20.7976,14.1819,21.7512
47.8700,43.3776,31.5520,37.5680,50.2772,40.3946,38.3560,40.2590
3.3400,4.8025,6.1714,2.8024,7.0119,6.7346,4.6659,5.3599
2.6300,4.5879,4.6086,2.3449,3.4235,4.6015,3.5768,3.8604
55.9900,60.4389,62.1499,59.3720,67.6747,65.9363,65.5085,63.4863
65.3900,55.1574,62.8483,56.5286,63.6253,63.0165,61.5083,60.4142
49.2700,43.8878,56.7753,47.2498,56.9618,54.5652,52.1073,51.8787
51.6500,48.7603,55.7677,49.2167,58.6436,55.3768,54.8797,53.7401
43.1700,38.4158,37.4491,35.8950,51.1191,42.6960,34.6459,40.0260
11.9500,13.9439,12.8786,18.1013,6.6185,12.5276,11.5518,12.6225
39.4100,34.5421,39.4375,27.8608,39.5914,32.7873,32.1720,34.3955
3.1300,4.5633,4.7243,2.3343,6.3081,4.7313,4.0707,4.4532
2.4600,4.4884,4.4405,2.2789,3.6330,4.3136,3.4765,3.7747
57.2500,63.6394,69.4087,59.8012,66.5651,67.3480,65.4809,65.3603
