Actual,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite,WeightedAvg_Pred
76.7537,76.7699,76.7079,76.8274,76.7363,76.6295,76.9115,76.7635
77.2228,77.2421,77.2865,77.5715,77.0836,77.3204,77.2663,77.2952
76.9535,76.9595,77.0233,77.2161,76.8074,76.9429,77.0052,76.9924
76.8677,77.5695,77.6043,77.2177,76.9664,77.4696,76.9715,77.3003
76.6592,77.4325,77.4901,77.0132,76.5896,77.3791,76.5229,77.0720
77.2713,77.2016,77.2147,77.7355,76.7623,77.2960,77.0267,77.2064
78.4352,78.5390,78.5551,78.4990,78.2956,79.0466,78.5173,78.5761
78.8673,79.1326,79.2421,78.9755,79.0530,79.8776,79.3172,79.2672
78.4965,78.7733,78.9446,79.0481,78.7865,78.6447,78.8554,78.8419
82.2688,81.1914,82.1865,81.1624,81.7638,81.1465,81.9127,81.5600
82.1708,80.8713,81.5746,80.7889,81.1807,81.0194,81.3350,81.1282
82.2811,81.0923,81.9099,81.0490,81.5437,81.0796,81.6775,81.3916
79.3912,79.8237,80.1128,80.1933,79.9391,79.3902,79.9925,79.9079
79.5079,80.1613,80.1899,80.0369,80.2061,80.3834,80.3466,80.2209
79.3278,79.7400,80.1616,80.4675,79.8891,79.0365,79.8499,79.8564
80.8325,79.7896,80.4536,80.0897,80.4040,80.3736,80.5315,80.2738
80.2217,79.2354,79.6288,79.2670,79.6775,79.9599,79.8763,79.6079
80.5588,80.6729,81.6978,80.6884,81.5120,81.3970,81.6770,81.2743
81.1215,79.4629,80.1432,80.4143,81.0864,80.8644,81.2988,80.5451
81.1331,79.9659,80.6984,80.4515,80.2621,81.0567,80.3944,80.4725
81.2499,79.9451,80.7627,80.5658,80.3451,80.9686,80.4237,80.5027
78.9712,79.0012,79.5812,79.3384,78.7627,79.4288,78.8504,79.1611
79.3067,79.3478,79.7657,79.5029,79.0717,79.7815,79.2222,79.4493
78.8984,78.8788,79.3564,79.0879,78.7869,79.3736,78.8927,79.0634
76.4622,76.5536,76.5633,76.5845,76.6187,76.4035,76.7346,76.5760
77.0877,76.9556,77.0771,77.1753,77.4080,76.9413,77.4433,77.1663
76.1286,75.8939,75.9900,76.1409,76.2824,75.4553,76.3901,76.0245
77.3977,77.3525,77.4529,77.5831,77.5261,77.4184,77.6082,77.4901
76.4808,76.6368,76.5426,76.4610,76.6089,76.3331,76.7453,76.5542
77.6330,77.5791,77.6380,77.7687,77.8685,77.6820,77.9133,77.7415
78.7121,78.3244,78.3282,78.7527,78.8023,78.5476,78.8239,78.5963
78.0107,77.8452,77.9804,78.0450,78.3074,77.9438,78.3432,78.0772
78.1211,78.0163,78.0575,78.1358,77.9311,78.3760,78.0635,78.0971
78.7121,78.6356,78.7725,78.8744,78.8187,78.9351,78.9131,78.8250
78.1917,78.3952,78.4994,78.3437,78.4662,78.6775,78.6088,78.4987
77.9207,77.6608,77.8438,77.7657,77.8073,77.8283,77.9461,77.8087
79.6251,79.7244,79.5441,79.3435,79.3155,79.9757,79.4728,79.5633
79.7749,80.0264,79.9077,79.5437,79.4400,80.3945,79.6082,79.8210
80.2508,80.4647,80.2151,79.8887,79.8394,80.6892,79.9991,80.1835
79.1070,79.6168,79.7433,79.4616,79.2521,79.3423,79.4911,79.4844
79.2330,79.9069,80.0752,79.6960,79.6147,79.7213,79.7688,79.7971
79.0338,79.3420,79.2793,79.2594,79.4358,79.1159,79.6181,79.3413
78.0107,78.5287,78.2837,78.2563,78.1329,78.2269,77.9723,78.2335
78.3334,79.0024,79.1239,78.6351,79.1659,78.7301,78.7768,78.9055
78.3030,78.2303,78.2086,78.2865,78.2393,78.3979,78.3199,78.2805
78.5169,78.2973,78.4393,78.3136,78.4957,78.3268,78.5868,78.4097
78.7431,78.7567,78.7054,78.8125,78.9689,78.9409,79.0374,78.8703
76.8962,76.7655,76.8509,76.8866,76.9166,76.4811,77.0002,76.8163
76.2577,76.1131,76.1267,76.2311,76.5030,75.5804,76.6393,76.1978
77.0493,76.9027,76.8803,76.8901,77.2239,76.7180,77.3499,76.9936
80.0769,80.1121,80.1496,79.8302,79.9598,80.1835,80.0261,80.0438
81.4831,81.8622,81.5605,81.6449,81.5093,81.8645,81.5209,81.6607
79.5718,79.6363,79.5652,79.3759,79.6101,79.7018,79.7096,79.5999
79.8501,79.9213,79.7784,79.7072,80.2109,79.7735,80.3052,79.9489
