Actual,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite,WeightedAvg_Pred
76.7537,76.7545,76.7528,76.6885,76.8529,76.7792,76.7581,76.7642
77.2228,77.2229,77.2226,77.2802,77.0631,77.2170,77.2226,77.2049
76.9535,76.9525,76.9537,76.8211,76.8175,76.8662,76.9329,76.8907
76.8677,76.8682,76.8695,76.8775,76.8743,76.9818,76.8686,76.8898
76.6592,76.6601,76.6551,76.7084,76.5595,76.6707,76.6575,76.6520
77.2713,77.2705,77.2738,77.2343,76.8002,77.2587,77.2775,77.1861
78.4352,78.4382,78.4339,78.3980,78.5052,78.4789,78.4463,78.4499
78.8673,78.8661,78.8685,78.9449,78.9784,78.8351,78.8668,78.8934
78.4965,78.4958,78.4975,78.4743,78.8332,78.4873,78.4900,78.5461
82.2688,82.2724,82.2721,82.1603,82.1256,82.2536,82.3093,82.2323
82.1708,82.1688,82.1735,82.1259,82.1190,82.1937,82.1743,82.1592
82.2811,82.2741,82.2739,82.2638,82.2389,82.2602,82.2249,82.2559
79.3912,79.3905,79.3908,79.4855,79.3311,79.4207,79.3958,79.4025
79.5079,79.5082,79.5161,79.5325,79.4698,79.4845,79.4999,79.5019
79.3278,79.3267,79.3256,79.3260,79.0929,79.2889,79.3307,79.2820
80.8325,80.8450,80.8377,80.9205,80.9131,80.8612,80.8125,80.8650
80.2217,80.2149,80.2161,80.1984,80.3145,80.1652,80.2337,80.2238
80.5588,80.5596,80.5593,80.7496,80.8608,80.6665,80.5687,80.6606
81.1215,81.1200,81.1194,81.0473,80.5346,80.8563,81.1289,80.9685
81.1331,81.1357,81.1335,81.1908,81.2320,81.1590,81.1358,81.1644
81.2499,81.2501,81.2510,81.1742,81.3037,81.3025,81.2888,81.2616
78.9712,78.9739,78.9706,79.0580,78.9649,79.0315,78.9734,78.9954
79.3067,79.3090,79.3092,79.2494,79.1722,79.3297,79.3314,79.2835
78.8984,78.8993,78.8947,78.7713,78.8343,78.9478,78.8944,78.8734
76.4622,76.4618,76.4630,76.3948,76.5859,76.3856,76.4673,76.4597
77.0877,77.0958,77.0947,77.0965,76.9265,77.1408,77.1214,77.0793
76.1286,76.1271,76.1237,76.2001,75.8130,76.0793,76.0785,76.0706
77.3977,77.3926,77.3942,77.4884,77.3779,77.3205,77.3575,77.3887
76.4808,76.4853,76.4830,76.4730,76.4258,76.5048,76.5043,76.4794
77.6330,77.6322,77.6313,77.7332,77.6596,77.5316,77.6225,77.6353
78.7121,78.7099,78.7116,78.5384,78.6146,78.7224,78.7500,78.6744
78.0107,78.0028,78.0093,78.0211,78.6793,78.1534,78.0156,78.1463
78.1211,78.1220,78.1192,78.0757,77.9431,78.1679,78.0969,78.0874
78.7121,78.7137,78.7113,78.7915,78.8789,78.6483,78.7075,78.7420
78.1917,78.1869,78.1910,78.1851,78.1977,78.0960,78.1860,78.1739
77.9207,77.9188,77.9177,77.9209,78.4135,78.0232,77.9399,78.0219
79.6251,79.6293,79.6274,79.7753,79.8566,79.6499,79.6269,79.6942
79.7749,79.7750,79.7749,79.7250,79.4911,79.7014,79.7929,79.7103
80.2508,80.2471,80.2469,80.2057,80.0034,80.2671,80.2413,80.2020
79.1070,79.1145,79.1061,79.1399,79.1812,79.1769,79.0961,79.1356
79.2330,79.2277,79.2315,79.2019,79.1901,79.1528,79.2176,79.2037
79.0338,79.0346,79.0368,79.1942,79.1741,79.0568,79.0437,79.0901
78.0107,78.0101,78.0170,77.8496,78.0869,78.0236,77.9809,77.9944
78.3334,78.3337,78.3326,78.2073,78.4461,78.3438,78.3736,78.3394
78.3030,78.3041,78.3077,78.2286,78.4640,78.2986,78.2956,78.3162
78.5169,78.5174,78.5170,78.5731,78.7679,78.4273,78.5092,78.5520
78.7431,78.7480,78.7426,78.9062,78.8075,78.7696,78.7464,78.7868
76.8962,76.8968,76.8949,76.9059,76.9971,76.8562,76.8969,76.9080
76.2577,76.2583,76.2584,76.2959,76.1050,76.2312,76.2394,76.2315
77.0493,77.0496,77.0486,77.1484,77.0836,77.0343,77.0647,77.0716
80.0769,80.0802,80.0801,80.1816,80.2127,80.0981,80.1021,80.1259
81.4831,81.4691,81.4804,81.2982,81.3150,81.2560,81.4548,81.3791
79.5718,79.5710,79.5719,79.4513,79.5452,79.5781,79.5659,79.5471
79.8501,79.8517,79.8494,79.7346,79.5863,79.7080,79.8622,79.7656
80.4257,80.4250,80.4251,80.3981,80.0606,80.3915,80.4254,80.3545
80.2399,80.2432,80.2404,80.2144,80.1528,80.2549,80.2303,80.2227
75.7282,75.7235,75.7267,75.6772,75.3528,75.6752,75.7000,75.6428
76.1654,76.1674,76.1651,76.1508,75.8456,76.1478,76.2148,76.1155
76.1562,76.1564,76.1593,76.1393,76.2872,76.1086,76.1525,76.1672
78.0909,78.0932,78.0912,78.1279,78.3636,78.0840,78.0896,78.1415
76.8772,76.8784,76.8761,76.9251,77.0780,76.9762,76.8813,76.9356
77.0397,77.0379,77.0362,77.1199,77.3966,77.0866,77.0407,77.1195
79.7427,79.7338,79.7398,79.7154,79.6449,79.7275,79.7322,79.7157
80.0444,80.0476,80.0450,79.9728,79.8190,80.0216,80.0566,79.9939
79.8501,79.8705,79.8633,79.8324,79.7836,79.9137,79.8630,79.8543
78.5272,78.5226,78.5265,78.5374,78.9135,78.5745,78.5025,78.5958
78.5067,78.5085,78.5029,78.6221,79.0278,78.5733,78.5057,78.6231
78.2625,78.2636,78.2653,78.2363,78.4906,78.2786,78.2899,78.3039
79.6464,79.6586,79.6487,79.5946,79.4568,79.7124,79.6418,79.6187
79.6464,79.6442,79.6500,79.6363,79.5143,79.6173,79.6695,79.6221
79.5931,79.5913,79.5888,79.5770,79.5143,79.5756,79.5927,79.5733
81.5328,81.5371,81.5328,81.5075,81.4769,81.5640,81.5235,81.5236
81.2733,81.2739,81.2694,81.3204,81.2003,81.2741,81.2943,81.2722
81.6756,81.6750,81.6765,81.7448,81.6382,81.7143,81.6701,81.6865
79.0338,79.0365,79.0320,79.0813,79.1011,79.0136,79.0361,79.0501
78.8258,78.8197,78.8226,78.7552,79.0355,78.8147,78.8181,78.8441
78.8880,78.8925,78.8923,79.0192,79.0037,78.9175,78.8934,78.9365
76.7632,76.7637,76.7623,76.6742,76.8612,76.7911,76.7562,76.7679
79.7642,79.7653,79.7636,79.7376,79.5436,79.7765,79.7501,79.7228
79.7856,79.7814,79.7870,79.8485,79.5693,79.7766,79.7978,79.7603
78.0809,78.0824,78.0744,78.0519,78.2668,78.2508,78.1267,78.1418
78.9296,78.9280,78.9336,78.9673,78.9308,78.9182,78.9183,78.9328
79.0025,79.0000,78.9975,78.9509,78.9999,78.9162,78.9730,78.9730
78.6915,78.6933,78.6996,78.6802,78.6782,78.7830,78.7222,78.7093
78.9192,78.9188,78.9201,78.7854,78.9760,78.8427,78.9215,78.8940
78.6606,78.6600,78.6643,78.5902,78.6303,78.6804,78.6477,78.6454
78.5989,78.5985,78.5959,78.6494,78.6240,78.5683,78.5750,78.6019
78.5681,78.5692,78.5669,78.5492,78.5640,78.5730,78.5818,78.5673
79.0234,79.0214,79.0252,78.9675,79.0861,79.0058,79.0160,79.0203
79.0442,79.0451,79.0444,79.0508,79.1718,79.0618,79.0467,79.0700
79.0651,79.0637,79.0649,79.1056,79.2165,79.0475,79.0457,79.0906
69.2271,69.2669,69.2432,69.2920,69.7055,69.4087,69.2936,69.3679
70.4258,70.4276,70.4284,70.4243,70.5109,70.4485,70.4105,70.4416
70.2674,70.2589,70.2628,70.2794,70.5143,70.1827,70.2588,70.2928
71.2432,71.2341,71.2388,71.2507,71.1742,71.2478,71.2242,71.2283
71.5966,71.6062,71.6012,71.6352,71.7782,71.6298,71.5956,71.6409
71.5823,71.5841,71.5854,71.6041,71.6208,71.7048,71.5957,71.6156
71.7980,71.7963,71.7955,71.6497,71.5418,71.7205,71.7554,71.7099
71.9580,71.9599,71.9613,71.9542,71.8630,71.9779,71.9672,71.9473
74.6762,74.6786,74.6780,74.7931,74.7267,74.4747,74.7031,74.6762
80.2835,80.2812,80.2813,80.3770,79.9279,80.3345,80.2485,80.2419
78.0708,78.0676,78.0583,78.1121,78.2352,78.1239,78.0629,78.1099
78.3639,78.3642,78.3745,78.3037,78.3264,78.2607,78.3649,78.3325
78.0006,78.0056,78.0024,78.0171,78.1494,78.0427,78.0110,78.0379
78.8465,78.8563,78.8485,78.7580,78.8131,78.9297,78.8862,78.8485
78.8051,78.8003,78.8062,79.0965,78.9966,78.8927,78.8132,78.9010
79.0861,79.0861,79.0765,78.9772,79.0205,79.0304,79.0828,79.0456
78.5476,78.5471,78.5447,78.4667,77.9952,78.4421,78.5446,78.4238
81.3296,81.3278,81.3255,81.3021,81.2969,81.3399,81.3176,81.3183
81.1448,81.1438,81.1445,81.1143,81.2682,81.1038,81.1378,81.1520
78.2847,78.2897,78.2822,78.3235,78.5281,78.3875,78.3111,78.3534
81.6374,81.6367,81.6391,81.7266,81.7536,81.6773,81.6403,81.6789
81.0982,81.0995,81.0996,81.0923,81.1738,81.0704,81.0997,81.1059
81.6553,81.6563,81.6532,81.6233,81.4972,81.6194,81.6614,81.6186
81.6517,81.6479,81.6527,81.6587,81.8218,81.6542,81.6544,81.6815
81.9956,81.9931,81.9941,81.8775,81.8253,81.9600,82.0120,81.9437
77.2519,77.2464,77.2515,77.2686,77.1985,77.2058,77.2385,77.2350
76.2762,76.2806,76.2787,76.2691,76.1841,76.2004,76.2746,76.2481
77.3831,77.3860,77.3804,77.4224,77.4943,77.5908,77.3696,77.4402
77.7180,77.7288,77.7189,77.7421,77.7393,77.6956,77.7688,77.7324
82.1379,82.1325,82.1379,82.0754,82.0511,82.1633,82.1402,82.1167
81.9267,81.9226,81.9296,81.8887,81.3185,81.7787,81.8760,81.7862
77.0926,77.0868,77.0904,76.9864,76.8908,77.1606,77.0977,77.0520
79.0108,79.0045,79.0138,79.0769,79.1508,78.9378,79.0092,79.0323
81.7942,81.7942,81.7945,81.7254,81.8125,81.7812,81.7791,81.7810
81.9303,81.9293,81.9305,81.9682,81.9423,81.8928,81.9408,81.9341
77.2306,77.2281,77.2321,77.1518,77.1427,77.0953,77.2364,77.1813
81.6756,81.6765,81.6794,81.7283,81.6645,81.6725,81.6651,81.6811
82.2811,82.2792,82.2812,82.1907,82.0368,82.2156,82.2876,82.2153
82.0090,82.0159,82.0080,81.9911,81.9654,82.0443,82.0279,82.0087
78.4730,78.4738,78.4771,78.4466,78.7735,78.5017,78.4667,78.5230
78.0006,78.0025,78.0003,78.0501,77.8136,78.1258,78.0056,77.9996
78.3000,78.3006,78.2933,78.3063,78.4498,78.4036,78.2774,78.3382
81.6493,81.6469,81.6488,81.7398,81.7217,81.6395,81.6433,81.6734
78.7317,78.7344,78.7365,78.7015,78.8979,78.7207,78.7489,78.7566
82.3684,82.3611,82.3635,82.2245,82.0022,82.2799,82.3476,82.2633
79.0965,79.0988,79.0953,79.1818,79.1870,79.0209,79.1021,79.1145
81.8074,81.8098,81.8089,81.7991,81.7974,81.7968,81.8314,81.8073
82.0612,82.0653,82.0589,81.9837,81.9465,82.0816,82.0666,82.0337
82.3032,82.3024,82.3027,82.2389,82.0600,82.3093,82.2999,82.2523
81.6386,81.6384,81.6356,81.7405,81.5784,81.6505,81.6468,81.6485
77.3393,77.3451,77.3405,77.2494,76.9648,77.2411,77.3365,77.2465
81.9206,81.9197,81.9180,81.8495,81.8037,81.9497,81.9330,81.8956
81.6875,81.6886,81.6880,81.7209,81.8579,81.6849,81.6931,81.7222
82.0843,82.0853,82.0839,82.1175,81.9916,82.1050,82.0832,82.0778
78.2463,78.2471,78.2462,78.2454,78.5857,78.2769,78.2082,78.3013
82.8278,82.8233,82.8254,82.9451,83.0373,82.9040,82.8223,82.8928
78.3751,78.3737,78.3776,78.5248,78.5093,78.3371,78.4290,78.4255
76.4855,76.4854,76.4830,76.4245,76.4443,76.5368,76.5240,76.4829
81.6887,81.6893,81.6874,81.7740,81.6750,81.7236,81.6906,81.7067
79.0714,79.0778,79.0736,79.1010,79.3838,79.0919,79.0685,79.1326
78.8289,78.8310,78.8330,78.7462,79.0522,78.7858,78.8263,78.8456
82.0126,82.0190,82.0185,81.8762,81.8494,81.9917,82.0132,81.9613
82.0612,82.0606,82.0638,82.0034,81.9387,82.0108,82.0637,82.0236
81.5446,81.5484,81.5492,81.5630,81.5050,81.5538,81.5683,81.5480
81.8555,81.8547,81.8489,81.8023,81.8949,81.9343,81.8714,81.8676
74.8216,74.8201,74.8227,75.0061,74.6470,74.7722,74.8382,74.8181
81.9762,81.9695,81.9738,81.9328,81.9212,81.9287,81.9481,81.9457
80.6042,80.6070,80.6056,80.7094,80.8459,80.6598,80.6216,80.6748
81.4144,81.4121,81.4151,81.4181,81.2502,81.3433,81.4463,81.3811
