Actual,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite,WeightedAvg_Pred
32.8242,32.8235,32.8239,32.9053,32.8731,32.8240,33.0160,32.8782
26.6372,26.6383,26.6379,26.7337,26.7094,26.6372,27.0513,26.7357
30.9645,30.9549,30.9671,30.9831,31.0528,30.9651,31.2568,31.0310
27.9144,27.9110,27.9143,28.1878,28.1756,27.9144,28.7394,28.1431
32.6101,32.6251,32.6179,32.4025,32.6584,32.6090,32.5018,32.5692
28.2814,28.2844,28.2966,28.2631,28.4845,28.2813,28.9705,28.4324
43.0994,43.0932,43.1003,43.4288,43.5012,43.0981,43.9757,43.3696
45.9124,45.8763,45.9074,45.6860,45.8652,45.9121,45.5470,45.7985
46.0021,46.0142,46.0133,46.3758,46.5431,46.0011,46.4529,46.2364
43.3644,43.3472,43.3358,43.4528,43.3322,43.3638,43.0621,43.3149
44.1229,44.1446,44.1455,44.3766,44.3591,44.1243,45.1111,44.3796
40.0050,40.0058,40.0166,40.0229,40.0434,40.0063,39.5307,39.9368
34.5379,34.5216,34.5071,34.0732,34.2405,34.5371,33.5293,34.2319
29.5025,29.5312,29.6115,29.9542,29.8603,29.5071,29.9802,29.7429
40.1631,40.1534,40.1617,39.8546,39.8817,40.1633,39.8767,40.0137
32.4063,32.5058,32.6305,32.9355,33.0871,32.4229,33.7491,32.8934
32.0115,31.9661,31.9543,31.6339,31.4915,32.0145,31.2348,31.7125
31.6913,31.6794,31.6786,31.8952,31.5464,31.6898,31.8949,31.7304
55.1648,55.1471,55.1241,54.9918,54.2753,55.1654,54.3830,54.8423
43.2328,43.2614,43.2633,43.6335,43.5161,43.2325,44.4012,43.5545
47.6001,47.5823,47.5655,47.0600,47.1206,47.6007,46.7538,47.2771
53.3880,53.3810,53.4031,53.3258,53.6135,53.3870,53.3071,53.4039
50.0755,50.0746,50.0560,49.8186,49.8665,50.0782,49.5870,49.9117
32.0416,32.0377,32.0101,32.0879,32.1246,32.0397,32.6844,32.1657
30.9751,30.9379,30.9444,30.5546,30.8393,30.9737,30.9062,30.8592
26.1615,26.1761,26.2346,26.4329,26.5230,26.1539,27.0197,26.4265
22.3777,22.4919,22.6497,22.5840,23.7145,22.3706,23.3043,22.8598
27.0756,27.0557,27.0210,27.0007,27.0559,27.0753,27.1695,27.0633
36.0687,36.1206,36.1395,36.6532,36.3481,36.0699,36.7010,36.3405
37.6440,37.6460,37.6698,37.8358,37.8680,37.6441,38.1069,37.7969
48.2420,48.2547,48.2650,48.6238,48.3146,48.2426,48.5089,48.3688
34.2976,34.3102,34.3009,34.1962,34.1642,34.2980,34.0980,34.2269
31.6929,31.6895,31.7031,31.6278,31.8088,31.6949,31.8578,31.7313
45.9453,45.9600,45.9541,46.2427,45.9339,45.9468,45.5901,45.9368
53.3469,53.3700,53.3429,53.0649,53.3802,53.3464,52.8154,53.2191
32.7613,32.7733,32.7677,32.7409,32.8028,32.7614,32.5429,32.7312
35.0819,35.0843,35.0806,35.4440,35.0042,35.0824,35.6177,35.2193
37.7971,37.7850,37.7993,37.6614,37.3311,37.7969,37.0117,37.5607
37.5208,37.5126,37.5279,37.4873,37.4186,37.5213,37.9305,37.5668
34.4244,34.4135,34.3700,34.2734,34.4324,34.4210,34.1395,34.3412
44.2766,44.2808,44.2775,44.2955,44.3118,44.2763,44.0099,44.2415
36.8710,36.8905,36.8931,36.7763,36.8225,36.8709,36.6254,36.8124
45.0640,45.0860,45.0981,44.8190,45.2409,45.0653,44.4908,44.9664
67.1306,67.0353,67.0922,67.5570,67.1239,67.1270,67.0000,67.1558
64.9126,64.9398,64.9458,64.6266,64.4952,64.9138,64.1562,64.6762
36.8448,36.8282,36.8304,36.4069,36.6229,36.8441,36.3007,36.6372
49.2949,49.3085,49.3447,49.4530,49.6550,49.3007,49.6003,49.4458
55.3415,55.2715,55.1225,55.1794,54.7654,55.3348,54.6130,55.0441
32.9431,32.9562,32.9544,33.0100,32.9368,32.9429,32.9816,32.9635
36.4665,36.4838,36.4648,36.1827,36.1536,36.4650,35.3354,36.1773
36.0154,36.0035,36.0135,36.0444,36.0368,36.0150,36.4524,36.0953
48.6312,48.5865,48.5987,48.2231,48.2567,48.6267,47.5194,48.2985
45.5733,45.5753,45.5732,45.4353,45.7984,45.5710,46.2672,45.7059
78.9825,79.5556,79.7217,78.7970,79.2293,79.0283,78.4002,79.1188
30.7852,30.8141,30.8230,31.2819,31.4142,30.7865,31.6440,31.1313
36.4229,36.3983,36.3890,36.1731,36.2652,36.4206,36.0072,36.2743
53.2895,53.2562,53.2504,53.0043,52.8797,53.2909,52.4994,53.0271
64.1593,64.1275,64.1485,64.2591,64.2299,64.1587,64.4469,64.2294
59.3603,59.3627,59.3749,59.4303,59.4905,59.3564,59.8030,59.4710
74.7090,74.8145,74.8440,74.6124,75.3863,74.7031,74.7647,74.8569
53.5393,53.4852,53.4419,53.3072,53.2323,53.5386,53.0561,53.3417
37.9340,37.9068,37.8448,37.6523,37.5065,37.9234,37.0307,37.6407
48.1352,48.1378,48.1321,48.1469,47.9180,48.1347,47.5668,48.0039
57.5273,57.5454,57.5417,57.6190,57.5878,57.5247,57.6655,57.5811
69.3110,69.2094,69.2214,69.0426,68.7583,69.3133,68.5640,69.0150
