Station,Latitude,Longitude,pH,EC,DO,F,Cl,NO3,SO4,PO4,U,CaH,MgH,HCO3,GWQI,LWQI,AWQI,RWQI
S1,21.10346667,85.73286667,6.76,170.3,6.08,0.67,9.8,21.375,8.0,2.43,0.0,40.0,20.0,60.0,32.82420420420421,33.915174829433,33.66510874937593,34.29971635775161
S2,21.09906667,85.73041667,6.69,202.1,7.63,0.27,20.0,6.45,7.87,0.53,3.2,40.0,40.0,60.0,26.637177177177175,27.321971397863578,26.637220543965427,30.64926558951065
S3,21.06856667,85.73876667,6.88,261.0,6.16,0.19,19.9,16.65,6.75,0.67,0.0,80.0,20.0,160.0,30.96445945945946,32.12722440958047,30.97155726199737,32.30246306586844
S4,21.04971667,85.77553333,6.83,262.0,4.37,0.28,50.0,19.875,3.71,0.14,0.0,60.0,0.0,120.0,27.91444444444444,28.79454103687677,28.02538506093575,31.159390749876852
S5,21.06841667,85.81028333,6.28,112.9,1.97,0.64,40.0,9.225,2.14,0.3,0.0,40.0,0.0,120.0,32.61007507507507,33.663465556038666,33.01072142583271,33.319558246937426
S6,21.04528333,85.80255,7.14,366.0,4.44,0.09,7.5,27.675,8.14,0.13,0.0,80.0,0.0,100.0,28.281351351351347,27.206061383159565,28.28136380057746,32.274288656203346
S7,20.98376667,85.78615,6.79,397.0,3.63,0.73,19.9,32.1,5.8,0.79,0.0,40.0,40.0,80.0,43.099444444444444,44.12754052296989,44.015564495251716,44.312574287270884
S8,21.06403333,85.86735,5.95,618.0,3.84,0.29,29.9,29.25,14.8,1.39,0.0,40.0,60.0,40.0,45.91243243243243,45.38553583777105,45.78857016850171,44.75356116124806
S9,21.0158,85.97085,7.05,520.0,4.26,0.84,7.5,31.95,11.1,0.29,0.0,40.0,40.0,140.0,46.0021021021021,47.22113924863922,46.567548890375264,46.61521646954494
S10,20.97145,85.85215,5.7,60.8,2.9,0.43,20.0,21.6,6.75,0.68,1.2,20.0,60.0,40.0,43.36442942942943,41.757810077436524,42.78655610009289,40.439179049150844
